start	end	text
0	28520	Hi all, good evening.
28520	35520	I'm my audible guys, I'm audible and visible, good evening Sambet, thank you.
35520	43520	So what I'll do is I'll start my screen sharing, please confirm once you can see the screen.
43520	47520	Start the timer and then we'll have a conversation.
47520	52520	Can you again confirm guys if you can see the screen share? Thank you.
52520	63520	So let's have a five minutes timer.
63520	68520	Okay, great. So I see some of the people have joined the class, we'll wait for the other people.
68520	76520	Meanwhile, any doubts from your previous classes, previous class guys, like we had only one session.
76520	86520	Did anyone felt overwhelming the initial concept like how does internet work or what is full stack or it was okay, okay.
86520	96520	Any beginner who felt overwhelming like discussing all the big jargons initially.
96520	102520	Okay, I don't think anyone felt overwhelming, it was good enough.
102520	111520	Then, how was your day guys? Was it a long day? How was your day at office?
111520	119520	Bad, okay, I meant as bad as a beginner, it's good, perfect, please, as I was able to say, great, great, Maheshwar.
119520	126520	Yeah, I meant Kabir, how was it? What was it actually?
126520	132520	Even I had some tough day, I had planned releases that didn't go well.
132520	143520	I mean, I had an external dependency with other teams was still working on.
143520	146520	Good day, great, great, Sambit.
146520	153520	So how many of you were able to solve both the problems, assignments?
153520	161520	Give me thumbs up if you're able to solve, give me thumbs down if you're not able to solve or didn't attempt it.
161520	164520	Okay, I see one thumbs down.
164520	170520	Guys, please vote in again, like I'm asking it again since only nine people voted.
170520	184520	So can you give me thumbs up if you have solved assignments and if you haven't attempt or haven't touched it, give me thumbs down.
184520	187520	Okay, no worries Kabir.
187520	197520	Let's try to stay in, you know, keep it pace, like it will take only, I think, maximum half an hour of your time within two days of time.
197520	200520	So try to do it, possibly.
200520	204520	And I see other two people.
204520	215520	Guys who give thumbs down, any challenges you faced with content or you have any issues or you didn't get time, what was your problem?
215520	222520	If you want to, you know, message me personally, you can.
222520	225520	Okay, okay.
225520	228520	So try to, you know, do assignment problems.
228520	231520	If you're having any issues, let me know.
231520	232520	I can help it out.
232520	236520	I think one of the members have already pinged in the WhatsApp group.
236520	238520	The other team member has helped it.
238520	243520	So I face issue after installing Visual Studio Code and Windows machine.
243520	248520	Shant, can we pick your issue in the doubt session?
248520	251520	I'll help you out with that, whatever issues you are facing.
251520	257520	So one thing you can do is Shant is like as soon as you're facing issue, right, post it in WhatsApp group.
257520	261520	I might reply other whole like we have a bunch of people, right?
261520	263520	Group of people who are along with us are studying.
263520	265520	They'll also see that issue and help them out.
265520	266520	We'll help you out.
266520	271520	Okay.
271520	273520	Okay, okay, then Russian issues.
273520	278520	Please try to keep it up and close it down today or tomorrow whenever you have bandwidth.
278520	279520	Why semantic?
279520	282520	That part couldn't get much.
282520	284520	Okay, and I'll try to repeat that part.
284520	286520	Let's wait for another minute.
286520	287520	Then I'll get started.
287520	290520	Okay.
290520	293520	Meanwhile, I'll ask if you can see my screen share.
293520	296520	This is working fine, right?
296520	298520	Like you can see the iPad screen share.
298520	299520	Cool.
299520	301520	How much is necessary for the full stack model?
301520	303520	I was not able to complete this because of office work.
303520	305520	I'm still struggling to complete it.
305520	308520	I have a lot of backlogs currently.
308520	311520	Atul, I would suggest you one thing.
311520	317520	I'll take this last question, guys, for Atul or anyone who is having still DSA module pending, right?
317520	321520	It would be really difficult to travel in both the boards at a time now.
321520	325520	So DSA being a core element for, you know, cracking interviews.
325520	332520	I would say the most but post cracking interviews, you will be more spending time on doing what we are learning.
332520	334520	So keep this basics clear.
334520	343520	So all the basics that I'm teaching, please, you know, focus on this as of now, because this will build your knowledge on React and NodeJS.
343520	347520	If you're not able to focus or understand anything, if you have any doubt, do ask me.
347520	350520	But if these things are clear only, you will be able to learn.
350520	358520	So whoever having challenges from DSA or any other modules, I would ask you to know deep right eyes that one for now.
358520	361520	Because what I feel for my opinion is.
365520	370520	OK, if you have any personal things, we'll take it up in the doubt session again.
370520	372520	I'll talk more on that.
372520	378520	Hey, can anyone add or share around like WhatsApp group in the chat?
378520	383520	And OK, let's get started with class today, guys.
383520	385520	We are on time.
385520	386520	So.
389520	390520	OK.
392520	396520	OK, so let's let's get started with today's class.
396520	398520	You know, I'll try to put out the agenda.
398520	400520	First, what we'll be learning today.
400520	405520	So as the class name itself suggests, I will be learning two things.
405520	406520	Firstly, least.
407520	409520	Table and forms.
409520	424520	So in a whole web, the whole web context, like whenever you're developing a website or anything, these two things place really great amount of room like forms are the one of the difficult task to create or to delete.
424520	427520	OK, so people face many challenges.
427520	431520	I would ask you to know, be patient with me when we are learning.
431520	432520	We'll try to go deep.
432520	433520	I will understand each point.
433520	436520	OK, these three things will be covering it today.
436520	444520	Along with this, we'll be covering one of the topic is what are inline elements versus block elements.
448520	451520	So these are the four things that I plan to take it up.
451520	453520	Other than this thing, I'll take the doubts.
453520	462520	So one of the doubts that's been asked me asked to me is that, hey, why do this semantic elements were introduced?
462520	469520	OK, so to divide, you know, there are two things people generally use dev and span.
469520	480520	OK, so dev and span are the, you know, the user for dividing a sections or like you say that this is one of the area or this is one of the element or the one box or anything.
480520	483520	People have been using this before.
484520	490520	Even today, people use this elements itself more commonly, more specifically.
490520	503520	But when you say dev and span, right, whenever you are defining a box or anything, you don't know what this box is talking about or what this content or what is this HTML is written for until unless you have yourself written it.
503520	504520	Someone is reading the code.
504520	506520	He cannot understand it.
506520	507520	OK, audio is coming.
508520	510520	Let me check this.
510520	511520	Give me a second.
511520	513520	I'm audible better now.
513520	514520	Anandu.
517520	519520	OK, great.
519520	527520	So before HTML 5, they've been using only two things like to divide the sections or write content dev and span.
527520	534520	But later on in HTML 5, people have introduced more elements which are name specific.
534520	537520	When I say name specific, what do I exactly mean?
537520	543520	You can all you can do all the things that you can do with semantic tags using dev and span.
543520	551520	But to understand HTML to make it more readable or cleaner code, they introduce semantic like elements.
551520	563520	Like if I write down a few things like header element or footer element, OK, main tag, then section tag.
563520	566520	OK, then button you have.
566520	568520	Right, you have now.
568520	577520	So these whenever I write the things right, whenever I'm writing this thing by definition itself, we know that we are talking about something we are able to relate it.
577520	585520	But when I say that this div is also acting, this is for acting for head and this the second div is acting for footer.
585520	593520	We don't know until unless we have written the code, the person the other person is coming and trying to read this using devs.
593520	595520	It's difficult to understand.
595520	597520	So semantic tags are more preferred.
597520	600520	If you are able to write it, it makes your HTML more readable.
600520	607520	Is that clear is why semantics should have been introduced or how they can help us out.
607520	609520	OK, great.
609520	615520	So let's get started with today's content, which is least.
615520	626520	OK, now, so basically in HTML, we have, you know, three types of least guys like least.
626520	641520	If you see wherever you go for like you open a word pad or any doc Google Docs now representing navigation and tab Suresh like pains you have navigation like top menus.
641520	645520	Like on the like I'll show you how navigation can be used.
645520	653520	OK, you can say navigation panel generally.
653520	656520	Multiple buttons.
656520	662520	OK, so coming back to least guys, how many of you have used this list?
663520	678520	Like if you go for, you know, you make a to do list, you make your noting them down, you note them down using 1234 or use ABC or you define bullet points or you use some sort of, you know, representation.
678520	681520	So everyone might have came across the least right.
681520	688520	You might be doing it in your any doc or to do app or any Google Doc.
688520	692520	Right. Have anyone have hope all you have used this list right now.
692520	694520	We'll see how they have been actually used.
694520	698520	OK, how they have been defined or how they can be created.
698520	702520	OK, so in least in HTML, right, you have basically three things.
702520	707520	OK, one is unordered least.
707520	712520	OK, second thing we have is ordered least.
712520	719520	Third thing we have is description list.
719520	721520	OK, we'll see them one by one example.
721520	723520	Let's directly go and code it down.
723520	728520	OK, let's see and code it down.
728520	736520	I hope all of the members except the one I see who are facing challenge with results record.
736520	738520	Everyone have installed it.
738520	747520	Whoever have installed right, one can code along with me whenever I'm typing it down for better hands on anything you learn.
747520	750520	Whatever I'm saying, if you understand that wouldn't be enough.
750520	752520	If you code along with me, that would be really helpful.
752520	763520	OK, guys, let's say we introduce class to inside this.
763520	769520	I'll create least dot HTML.
769520	773520	Again, I'm using Emmet, guys, HTML 5.
773520	777520	Then once I have this, I'll name this as a least.
777520	789520	OK, now let's say if you go with like unordered list, right, unordered lists are generally used whenever you don't have specific definition like or like you have a sequence of.
790520	795520	Whenever you don't have prioritized list like it's just a general list of items that you write down.
795520	799520	OK, can anyone give me when unordered list can be used?
799520	804520	Any idea like when unordered list can be used?
804520	808520	Any any idea when unordered list can be used?
808520	811520	Or you have seen cart items?
812520	817520	OK, so anything else, guys, like.
817520	823520	Any any any else anything else like who doesn't have any, you know, representation.
827520	836520	Grocery list or something which is whichever doesn't have any priority or the right at that particular places we can use unordered list.
836520	838520	Let's see how you can write it down.
838520	845520	So, you know, there's only one thing like if you want to define the list, if you are using unordered list, you have to remember UL.
845520	847520	UL stands for unordered list.
847520	852520	OK, once the tag is opening, I'll also close this unordered list tag.
852520	857520	Once I have closed for each list item, you have to define it specifically.
857520	859520	OK, this is how you define a list item.
859520	865520	Let's say we are building a list of like let's say grocery items people have suggested.
865520	868520	OK, now let's say if you are building groceries.
874520	879520	Now, let's say you are trying to build on the list of items that you want to buy at the start of month.
879520	887520	Like recently, many people who are running their homes might have, you know, your parents might have made you to write down the list of things or, you know, add into the cart.
887520	893520	If someone is doing BlinkIt or like any other app or you might have picked it up from the store.
893520	901520	Right. So let's say let's let's let's write down something, guys, in the comments, like what what all things you want to add and see this one.
902520	911520	Let's say I add it. I start with maybe rice, five kgs that is needed for home to run a month with three people living.
911520	913520	Let's say oil of.
916520	917520	Two liters.
918520	920520	OK, then you have a wheat.
923520	926520	It may be again five kgs. Let's make it 10 kgs.
