start	end	text
0	29840	Hi all, good evening, am I audible and visible guys, yes great, thank you Abhinav, give me
29840	51320	a second, I'll share my screen, yeah I will do that, okay we'll do that, please let me
51320	59560	know if you can see my screen, screen share is visible right, yeah great thank you, so
81960	87560	I wanted to ask one thing like you know there's a drop in number of people who have solved
87560	95080	assignments for the last class css one, is it because of attendance or you had any challenge,
95080	101000	I just want to understand if you had any challenge or those straightforward or anything you have
101000	111160	faced it, anyone, okay let's see we have 16 people in the class, how many of you
111160	116200	have solved it, if you have solved it give me thumbs up, if you haven't tried it give me thumbs down
118680	119000	okay
122760	135080	great, so among them three what could be the possible reason guys like you were not able to
135080	145240	find time or like any challenges or if I can help you out, okay great Abhinav, time,
147400	153320	sure it would take I think believe me this full stack related assignments right
153320	157880	shouldn't be taking more than half an hour for you to solve them like two three questions so
157880	163640	maybe you can try it down okay because I don't want your backlog to you know fill up
164600	171000	right so people who gave me thumbs down right please try to you know manage it
172440	178120	and give your you know like time some time to it at least half an hour or one hour whatever it is
178120	190040	like depending on your speed okay so yeah no worries Abhishek please
190520	196200	just cover it up only you have two classes right so moving forward you won't have that backlog
197960	205640	okay thank you Abhishek, so guys anyone can drop message in whatsapp again
205640	208280	would be really helpful like we are getting started
209560	213480	frequently traveling because of work from different state to state
213640	214440	state to state
217160	218280	Dhanraj where do you work
225000	232440	uh can you add that as a question like I'll try to take it commonly like this
234440	237720	you have your own business okay
243480	247080	okay let's let's do one thing guys what we'll do is like
247880	252200	firstly we'll revise what we have discussed in session one then we'll get started okay
255080	261480	I'll drop a message in group give me a second yeah Tejal has dropped a message
262280	264040	thank you Tejal thank you Raman
266200	269480	okay great so let's
274280	280600	okay guys you can discuss with Abhishek discuss with Dhanraj later on but he maybe he's trying
280600	285880	to build his career in IT let's focus on that last part okay so
288440	294680	we'll get started guys it's seven of nine oh five already okay so today's agenda is
294680	299720	morally specifically based on box model display and position these three particular fields
300040	305560	particular fields but before going on to that I want you to you know shoot the something that
305560	310840	you remember what we have learned in last last class like what you have learned or what we have
310840	320600	discussed so what are the sections css we have introduced right we talked about what is css then
323640	325960	we have discussed what is inline css
330120	330840	selectors
333960	341320	then we have discussed colors right if you remember colors and font and background property
341320	348360	these are the things that we introduced already in last class now just trying to revise guys
349320	352840	trying to revise if you come to selectors what all selectors you have
353480	361720	like what all selectors you have can I say id then you have something called as class
363080	368840	after that you have element selector then you have attribute selector
371080	375800	these are the simple selectors that you can see other than this thing you have combinatorics
375800	381160	when you go for combinatorics combinations you have descendant selector
381400	382520	descendant selector
387960	394920	and then you have children's selector right we have discussed all of this so I hope all
394920	400280	these things are basic things are clear right how do you access a particular field using id class
400280	407240	attribute descendant and children right okay great now if you have also seen about colors like
407960	413480	how many types of how many ways you can choose colors what all things are there guys
