start	end	text
0	2060	you
30000	32000	you
40280	42280	Hi all good evening
47040	50500	Can anyone confirm if you can if I'm audible and visible this
53720	55720	Thank you
56440	58440	I
59040	63040	Share my screen if my skin share is also visible guys
65960	68640	So let's have time of four minutes
86600	93820	Yeah, so how are you all how's everyone doing? How's your work going at offices? How's your preparation going?
96080	98080	Any challenges
101960	109360	So how many of you have already sold all the assignments guys if you have sold all the assignments give me thumbs up once I
112480	114480	See three people
116720	118720	Okay
120840	125520	People who couldn't do it right who are not able to do the assignments in the challenges guys
125520	132600	That would be really helpful for our analysis also like we can really try to do if you are having time issues
133360	138040	Understand that but any other thing like you have it if you have any challenges do let me know
138840	140840	enlighteners or enlighten me so that
140920	144760	We'll try to work out on a part such that we can help you out
149640	152160	To left yeah, sure. Thank you promote
158880	160880	Okay
161880	168400	So I'll drop a message in the what's up guys all great. Thank you station great work keep doing
171080	173080	I
181320	183320	Just a second
192040	197480	I'm I am NOT great great something
200840	203840	You
230840	232840	So
237960	239960	What's up link
240720	242720	Give me a second guys
242840	247200	Can anyone share the whatsapp link guys I have to open and laptop
247840	251080	So if anyone can share it I can you know pin that
251720	253720	I
254680	262520	Great summit and scalar editor they have already one CSS style sheet is linked. What is the purpose of that? We can see it
266080	272920	Scalar editor I'm not sure because and I didn't open the scalar editor guys. Give me a second. I'll do it and
273880	275880	Let you know on that
276680	278680	We can use it I
279360	285300	Hope it should be editable, but not sure like how that works. I'll confirm to it Kabir
285300	288360	I'll check on that and confirm to it often. Okay
290480	297560	Yeah, okay, you might be having seen that link is attached in HTML is it like you hyper reference
298560	301480	Yeah, you can type it down using style tag directly
305080	307080	Okay
307240	309880	Yeah, so somebody's I shared what's up chat
311400	313400	In this thank you something
314320	317840	So guys, you know, let's get started with today's class
319000	324040	You know, okay. Did anyone go through get a prep? Oh guys. I have actually
328640	332440	I've added actually one of the screenshot earlier
333440	337320	So facing issues in question to anyone test cases are failing
337880	341520	We'll check that in touch in some bit. Can you add that as a question?
341520	346600	I will fix that one will verify okay add that as a question. We'll pick it up in touch
347440	351800	But guys did anyone got chance to go to get a repo?
351800	356320	I've added one of the you know picture which can help you to revise
357160	359160	positions
359560	362720	Okay positions property can anyone see
363720	365160	so
365160	368160	I've summarized all of them into one sheet
368920	373780	Will revise this thing again and we'll move ahead with the flexbox. Okay
374840	376800	so
376800	380640	Let's get started with agenda today what I have in my mind
382560	388560	So today's class is mostly based on one topic called flexbox will be spending more time on that
389160	394240	We'll understand what is this and why if we are using or why it is being used across like
394480	401880	Why it is like bread and butter for the person for the front-end developers who's working on CSS and will also understand media query
402640	405200	But this is the most important thing
405200	410920	I hope I'll try to explain my best and hope you solve all the doubts that you have if you are facing anything
410920	415760	Let me know. Okay, but before going to flexbox guys, I just want to revise
416520	418240	property position
418240	422160	So can anyone help me why or when that party position?
422960	426840	Property comes into the role in CSS. What is a use case of this?
428560	430800	When does we use position property?
433480	437160	Where do we actually use this position property anyone
437160	439160	Guys
446520	454320	To set something at a required place to allow to move aside any side, right?
454400	459520	So if by default when you write CSS like HTML
460040	466680	The every HTML element will have a desire, you know a place where it will render, right?
467320	474160	But that's a default place by from but if you want to move it from that default place to some other place around the
474520	475560	HTML, you know
475560	482360	I mean whole rendering box or the browser or any device that you are working on then you go for the position
482960	489560	Property where you by which you can move all the elements to any side that you have and to move all the elements you have
489560	491560	four properties top
491560	493000	bottom
493000	494160	left
494160	496680	And right right we use them
496800	504720	So any of the combination of two either this two or this two will help you to move the item any side, right now
505240	512120	When we started if we thought we say that by default default proper what would be the default property of position guys?
512120	514120	What we have discussed?
514320	516320	What would be the default property of version?
516960	523120	Static right, so by default all the HTML elements will have position called static, right?
