start	end	text
30000	40560	Hi all good evening am I audible and visible guys okay thanks
49680	50800	so how's everyone doing
60000	72480	I'm trying to set up the screen guys give me a minute
72480	85560	Oh start screen sharing do let me know once you can see the screen
85560	109120	are you able to see the screen guys okay thank you so hey guys can anyone share
109160	125200	the whatsapp group link for Avril so guys how many of you complete last 11 questions
125200	142000	did anyone attempt it okay sure I'll do that I'll do that I'll do that
142000	153600	give me a second my screen share to act I'm switch Wi-Fi connection
172000	186560	guys give me a second I'll rejoin the call okay no not needed I believe like am I visible
186560	192000	and audible clear no just want to recheck with you guys and screen share is also working fine
192000	207640	right okay so we'll explore two properties guys margin collapse and red index and okay
207640	218040	these two properties okay right let's wait for another two minutes we scan even post in
218040	234200	whatsapp group we'll start in three minutes we're about to get started okay so there's
234200	241240	anyone having any other doubts no submit you'll be able to understand we are starting with
241240	247960	JavaScript so I don't think you missed anything but to watch the last class okay it's about
247960	256440	advanced CSS I hope you go back and try to get a hang of it okay so this is to Sambit Basant
256440	270040	submit drop me a github url you know then I'll check on that okay
270040	286760	let's create another folder in the classes which will stand for JS
286760	299960	right Sambit Tripathi and Sambit Basant both people I think you already greeted each other
299960	311360	in two classes earlier okay great I'll keep this open with me and we'll check this Sambit later
311360	328320	okay so github link is already shared wherever I'm pushing the code but I'll it's it's you know
328320	334120	pinned in whatsapp also you can refer from whatsapp group also but I'll reshare it
334120	358040	so this is the link guys okay and also in the whatsapp link I think time is also up we have
358040	364600	good amount of people so let's get started guys with today's class okay
364600	380120	so till now guys what we have covered in broader perspective right are two parts isn't it two parts
381120	390440	code code two parts I would say HTML and CSS we call this as a hyper text markup language
390440	401640	where it was just used to you know build the structure of layout right structure of our
401640	408480	website like what content to be showed and how it should be showed whereas this used for styling
408480	418560	the structure and we call this one as a cascading style sheet
418560	430520	right so I hope this two parts were clear to everyone right can you guys give me thumbs
430520	435360	up if you are clear with this two topics on broader level and the topics that we have
435360	442080	discussed till now cool so we are going to get start with the third I'm guys today which
442080	449400	is JavaScript so since this is a first class we'll move bit slow we'll understand best bit
449400	457080	history about what JavaScript is why it was built and how you know web development got you know got
457080	465080	this much of scope and how how this has been done okay so you know firstly if I go to do you
465080	477240	understand this keyword is web 1.2 web 2.2 or web 3.2 do you know this have you heard of this one
477240	492160	what are these are okay now let's see like what is web 1.0 firstly so not exactly versions but
492200	498760	these are like the how web development was progressed and how they have grown over the
498760	509520	years like if you see web 1.2 was simply built using HTML and CSS and they are only used to
509520	517660	build something called a static sites when I say static sites you don't have really like you know
517660	523860	behavior like you they don't have clicks or events that are being you the events you probably you
523860	529300	click it if you see a newspaper how that newspaper is like it's only one way right consuming you're
529300	534180	consuming the data but you cannot give data to that newspaper right it's just like you are trying
534180	540420	to read it so initially whenever websites were built firstly in web one point of face when like
541420	548820	.com boom was going on in 1990s so people used to only use websites for you know rendering data
548820	553540	like you can consume the data but you cannot actually play around with that all the other
553540	559780	things were done offline wherever you want to give a data it was offline is that point here like
559780	565340	when I say web 1.2 what do I mean it's just that wherever it's like a newspaper sort of things like
565340	571300	you have only you can consume that data like it's like reading a book online so that's how web
571300	579900	development started initially and this people know after that web 2.0 is somewhere like you
579900	589100	know the journey where people saw a problem that they want to do on automation and automation of
589100	599020	what of all the manual work you do like so now when I say only read only content but if you want
599020	603900	to give some data to it let's say you want to do an online banking or any other other sort of
603900	610860	banking how can you do it how can they do it so that's where you know they converted from like
610860	618580	art like manual efforts to automation and the first step towards doing this one or something
618580	629420	called us grow first internet have anyone heard this word grow first internet
629420	640860	even when I was going through right I don't know but I will show you what it was like okay
640860	646660	first websites were built then there was you know the websites were used to look like this one if
646700	653740	you see this image so Grover is someone like who built an internet protocol which can render you
653740	660220	render a menu like item and on click of them they can redirect you to the content which can
660220	665900	is only readable there are no forms or those sort of things but still the data is being shown only
665900	673340	not being consumed but this was like hyperlinks okay so that was a stack that came into the role
673340	679740	once they wanted to start automation like shipping more content onto the web is this clear on top
679740	684260	view what like the first invention was in terms of grow first internet this is something like where
684260	691140	they want to show menu sort of things if you see everywhere it would be like a hyperlink okay
691140	699900	nothing much deep in that but it's because it was just how used it used to work okay you can
699900	705980	explore on this if you want to read like what was a Grover and how it can be done but initial when
705980	711460	they got started the first protocol that was developed in terms of automation going moving
711460	722340	towards something called as web 2.0 was this one grow first internet then this one person
722340	736740	called Brendan H does anyone know this person name Brendan H have you heard this person name
736740	750620	okay this was a crazy guy who was also a CEO of Mozilla Firefox the team who actually went
750620	757420	on to build web development for us okay so this person has written whole programming language
757420	768700	case let me just show you his image okay this was a person who actually you know built the
768700	776180	JavaScript language but he was a co-founder of Mozilla project or Mozilla foundation whatever
776180	781140	you call Firefox is one of the product for them but he or someone who actually started
781140	789220	but when he did this one right this crazy person who wrote whole code in 10 days
789220	797940	what if I say you that JavaScript was built in 10 days and we are taking more than a month to
797940	811620	understand it it's funny isn't it so this person has coded the whole JS in 10 days and do you
811620	816380	believe like any person is so smart that one person can build full-fledged language in 10 days
816380	826420	do you think it's possible no right so this person when he built it now he firstly he they
826420	833860	used to call them call it as a live script okay live script okay because they wanted
833860	839100	this website to act like a life when they were going towards developing this web 2.0 like they
839100	844620	want more interactive so they call this has a script which will help you to interact making
844620	852540	the website live and when he built this life script now he made many mistakes many mistakes
852540	857380	while building it and those mistakes we famously call it as JavaScript features that will explore
857380	862860	one by one and even interviews I don't know why they expect us to know because those are the
862860	868780	pitfalls of JavaScript we'll explore them one by one but this language initially was built in 10
868780	875820	days that was a crazy thing that happened then you know the people from the back end like Java
875820	880780	they still mock front-end developers like hey you're writing a scripting language not a
880780	888860	programming language as such does anyone have heard this or face this one or like office life
888860	896020	or anything the world before frameworks like angular react people we used to use HTML CSS
896020	903220	JS and JS was actually not considered a programming language by the so-called back-end developers
903220	908500	because they say that this is just a scripting language nothing much more specific than that so
908580	915660	they've been like many things have been mocking with they have been mocking us but after the
915660	920500	frameworks came in after they got to know what are the challenge in challenges in it they're
920500	927300	acknowledging it slowly slowly but still back-end people are still back-end people okay but keeping
927300	934780	all the stuff aside now this as I said you when I say that this is not up to the mark
938740	945140	mark language like up to the mark into the market so there should be some organization right who
945140	953020	might be taking care of this life script who might be taking care of life script or building it so
953020	965140	that organization was called us ECMA have anyone heard this key word ECMA okay so these people
