start	end	text
0	28480	Hi y'all, how's everyone doing?
28480	30000	Am I audible and visible guys?
30000	34000	Give me a thumbs up, thumbs down if you can see me, hear me out.
34000	36000	Great, great, thank you.
38000	44000	Let me do a screen share and start the timer so that we'll wait for that amount of time.
44000	48000	And then we'll get started with today's class.
48000	60000	Just do let me know if you can see the screen share too.
60000	68000	Great, good evening.
68000	71000	So guys, how was the assignment?
71000	74000	How was the contest?
75000	80000	Did you face any challenge in the contest or it was fair and simple and straightforward?
83000	87000	Give me a thumbs up if you have cleared it, if you have attempted it.
87000	90000	Easy, right?
90000	92000	Cool.
92000	99000	Great guys, I see that people who have attempted it, more than 90% of them have cleared it.
99000	105000	Only 1-2 people, I think they left the exam in between because their score seems to be completely zero.
105000	107000	They didn't attempt it.
107000	111000	Yeah Kabir, we'll pick it up later.
111000	115000	Okay, once we complete the content for the class, then I can pick it up.
129000	133000	I think it was okay.
133000	135000	Two days.
135000	137000	I have an announcement too guys.
141000	145000	Once we have enough people joining the class, then I'll talk about it.
145000	157000	But in between guys, I would request you one thing, right?
157000	159000	Who are following up?
159000	161000	Whenever we are learning JavaScript.
161000	165000	So I would ask you to follow one of the websites.
165000	169000	Like JavaScript info.
169000	171000	This particular site.
171000	175000	And try to read through this fundamentals and everything.
175000	177000	I would say every topic.
177000	181000	I've read this I think 3-4 times but I keep revising this stuff again and again.
181000	183000	Okay.
183000	185000	So it has 3 parts.
185000	187000	Basically, first is JavaScript language.
187000	191000	Then you can explore browser events, everything.
191000	193000	That we'll be introducing once we start with Tom.
193000	197000	But then there are some additional topics like if you want to read through them.
197000	203000	But you'll see that all the topics are clearly explained here.
203000	205000	I'll pin this one.
205000	211000	So why I'm giving you this one is that I want you to all follow up this one.
211000	215000	And whatever topic we are picking.
215000	217000	Let's say we completed variables and data type.
217000	219000	Go through that.
219000	221000	Understand that.
221000	223000	If you have any challenge on that one also, do let me know.
223000	227000	This is something site you'll be coming back and referring back again and again.
227000	229000	For JavaScript at least.
229000	231000	Because I prefer that one.
231000	233000	If you have any better resource.
233000	235000	Feel free to go through it.
235000	237000	Read through it.
237000	239000	Okay.
239000	241000	But in case you have doubts, do let me know.
241000	243000	One thing I want to make sure is that when you are preparing.
243000	245000	When we are going through JavaScript classes.
245000	247000	I hope you are following up.
247000	249000	You are studying the content.
249000	251000	Other than also with the classes.
251000	253000	So that whenever there is a mock interview.
253000	255000	Which is coming along with HTML, CSS, JavaScript.
255000	257000	In future.
257000	259000	Down the line after a month.
259000	261000	I want you to be confident on that.
261000	263000	Like from day one day.
263000	265000	For the first class itself.
265000	267000	Since it's the second class.
267000	269000	Highlighting that.
269000	271000	Be confident.
271000	273000	Be prepared.
273000	275000	Each day whatever topic we are going through.
275000	277000	Just go through that JavaScript info.
277000	279000	And try to explore and read through it.
279000	281000	Works guys.
281000	283000	Because at the last moment right.
283000	285000	If you again try to prepare.
285000	287000	Freshly for the interviews.
287000	289000	It would be really difficult.
289000	291000	So we will be doing it parallelly.
291000	293000	And I will try to highlight those things.
293000	295000	Which are like interview points.
295000	297000	Which are important.
301000	303000	Can anyone help me with dropping.
303000	305000	Like a text in WhatsApp group.
305000	307000	Like we are getting started.
307000	309000	I see less number of people today.
323000	325000	Meanwhile I will share my iPad.
337000	339000	Guys anyone can share WhatsApp group.
339000	341000	Link here.
341000	343000	I will pin that one too.
343000	345000	Would be thankful.
345000	347000	Meanwhile I will stop the timer.
347000	349000	Since the time is up.
349000	351000	And we will get started guys.
351000	353000	Okay.
353000	355000	So before getting started.
355000	357000	I have a small announcement.
357000	359000	So I will be on leave.
359000	361000	And I will see you guys later.
361000	363000	Bye.
367000	369000	I will be on leave from this Saturday.
369000	371000	To Friday.
371000	373000	Next week Friday.
373000	375000	I have my sister's wedding.
375000	377000	My own very own sister.
377000	379000	Elder sister's wedding.
379000	381000	So I have to take care of many things.
381000	383000	So I won't be able to take.
383000	385000	Your Saturdays.
385000	387000	And Tuesday.
387000	389000	And Thursday's class.
389000	391000	So I have requested for a replacement.
391000	393000	Instructor for three classes.
393000	395000	So I will let you know.
395000	397000	Who is getting assigned and what.
397000	399000	One thing I will make sure.
399000	401000	That he teaches you.
401000	403000	To the best quality of content.
403000	405000	And even I will provide.
405000	407000	You know my notes.
407000	409000	That I have taken in the previous batches.
409000	411000	That I will share it in the same GitHub repo.
411000	413000	So that you have both the things.
415000	417000	Works guys.
417000	419000	So I will give you the name of the instructor.
419000	421000	And everything in the Thursday's class.
425000	427000	Great.
427000	429000	So I have pinned this Whatsapp link.
429000	431000	Ok fine.
433000	435000	So guys.
435000	437000	Rather than writing anything in iPad.
437000	439000	Let's go to the code.
439000	441000	Since we started on JavaScript.
441000	443000	It's more of a coding now.
443000	445000	Thank you so much.
445000	447000	Promote that.
447000	449000	We will be delaying your classes right.
449000	451000	We want your.
451000	453000	Whatever we have promised.
453000	455000	Those to be on track.
455000	457000	I will be anyway sharing my code.
457000	459000	I will also be explaining things.
459000	461000	Ok.
461000	463000	So.
463000	465000	I will make sure that you know.
465000	467000	Rhythm is not affected.
467000	469000	Because I will be trying to cover those also.
469000	471000	And I will talk about that thing.
471000	473000	How it will work.
473000	475000	Ok.
475000	477000	So guys.
477000	479000	In last class.
479000	481000	We stopped at.
481000	483000	Arrays in depth.
483000	485000	So we.
485000	487000	Like we were exploring all the methods.
487000	489000	Which are available in arrays right now.
489000	491000	I have asked you to go through the slides.
491000	493000	And try to see the syntax.
493000	495000	And use this. Has anyone explored that one?
497000	499000	Did.
499000	501000	Do you remember that? Or like.
501000	503000	Did you get a chance to explore this?
503000	505000	Give me a thumbs up thumbs down guys.
505000	507000	If you didn't.
507000	509000	That works even. I will try to explain.
509000	511000	Good. I see no one.
511000	513000	Ok.
513000	515000	So one thing we will do is that.
515000	517000	Firstly I will revise everything.
517000	519000	So we remember push and pop.
519000	521000	What does push and pop does?
521000	523000	Adding and removing from the last index of an array.
525000	527000	Similarly unshift and shift.
527000	529000	Which are like removing and adding.
529000	531000	From the first index of an array.
531000	533000	Zero index.
533000	535000	And slice is somewhere.
