start	end	text
0	2060	you
30000	32000	you
51280	53280	Hi all good evening
54280	59580	I'm I audible and visible guys any thumbs up reactions
61160	65660	Thank you. Yes. Thank you. So let me share my screen
67840	71080	To let me know if you can see the screen good evening Tejal
73320	75480	Just to let me know if you can see the screen share too
76880	80120	Good so let me open the code base
83280	87000	This is something that I was building an open source project for myself
97480	99480	Give me a second
108480	110920	Good evening, I appreciate good evening some bit
114000	116000	So
117120	121900	Guys I've seen there's a drop in you know assignment problem solving percentages
122560	129200	Are you able to catch up or having any challenges that you want to point out or do I need to take it anything from?
129200	131200	my side
131400	139340	Just want to know if there's any reason that you know this or you are able to do it till now easy in JS, okay
140060	143020	So I hope everyone is able to catch up, right
144620	146380	Great I wish it
146380	153180	Right. Great. So whatever responses I'm getting I believe from that part of you, you know, this
153900	157580	Assignments, whatever there are those are comparatively easy, isn't it?
158300	161040	So let's start with a screen share of iPad
161680	163680	Uh
165120	167120	And the second thing guys
167120	171520	I hope all the topics that we have covered till now in the js are those are clear
172240	177760	Uh related to maybe introduction of variables data types and then harvesting concept
178320	184400	Then we understood how behind the scenes things work. We also learned bit of debugging in, you know browser
184720	186720	Meanwhile when I was trying to show that
187280	189440	So I hope all those concepts are clear, right?
190400	194240	Whatever we have covered till now difference between let and
195840	197840	Const
198000	204240	Great, uh, can anyone help me drop me a message in whatsapp group for the people to join?
207280	213140	So i'll start a two minutes timer meanwhile because I want to start at nine or five
219440	221440	So
226720	228720	Let's keep it this way
234080	236000	So guys, uh, if you thank you manesh
237600	242880	So if you if you see, uh the topics that we have discussed till now when we introduced it
243600	245600	a series listening to
249440	251440	Okay
258960	260960	How should I stop this
262960	264480	Okay, fine
264480	270960	Great. So till now if we have learned like we have introduced what js is and how you know the web has
271680	275200	You know came into the picture of two days and what could be the future?
275600	280480	And how they how you know web 1 web 2.0 and 3.2 got evolved then
281360	284000	Uh, we have started with something like variables
284880	285840	right
285840	288480	Then we have understood something called as data types
289600	291600	You've seen some examples on this
292160	297760	Right different data types we have explored iris and objects in depth and their respective functions
299600	304320	Then we have picked one of the core concept of javascript which is called hoisting
305520	306480	right
306480	310160	and we have understood hoisting with respect to var and
310960	312960	latent const
313120	318480	So for both hoisting exists, but latent const behave differently. There's a better error handling
318880	322880	The only reason is there's something like latent const are initialized in temporal
324720	326560	Dead zone
326560	331520	The whatever hoisting is happening. It's happening here in temporal dead zone and then it behaves
332320	333680	In a single way
333680	338880	Right. So I hope this concept still now whatever we have discussed if those things are clear
338880	342240	Can you give me thumbs up so that we can get started with today's content?
344560	346880	Great guys, great. So
348400	351360	I want to talk about something that I left in last class
352000	353280	Is that
353280	357120	If you see in the class 9, uh when I was discussing about objects
357680	364480	I think in the here in the reference data, right? So I have used something called a spread operator. Let's get started with this one
365360	366400	Okay
366400	369280	So in javascript, right if you pick js
370080	372560	Inside this this three dots
373280	377040	Is a common thing and this can be used in a two parts. Okay
377600	381520	Sometimes it is called as rest operator. Sometimes this is called a spread operate
382640	386320	Okay, we'll give you an examples of them in depth one by one
386880	388160	but
388160	394320	Uh, like both these things are called in a you know with the different names depending on the use cases we have
395120	400560	Spread is something which is trying to spread like if you see on a toast you try to spread a
401040	404880	Butter or any jam that you have right? That's the same thing the same way
405600	407920	It spreads all the items in it
411680	413680	All items in it
416320	421780	Okay, so which items it will be able to spread something which are i-triple
424240	427680	Now what are the i-triple data types that we know anyone
429840	434320	What all i-triple data types that we know on which you can apply for loop when I say i-triple
434400	440080	I mean to say that on which type of data types we can apply I like this one array, right?
441840	443840	And the other thing guys
446480	449200	Okay in js you can also iterate for objects
450880	454080	I'll show you a loop like how you can do it and maps
454640	459360	If maps are like a data structure a bit advanced data structure when compared to js
