start	end	text
0	2060	you
30000	32060	you
60000	63060	you
90000	93060	you
120000	123060	you
150000	153060	you
180000	183060	you
210000	213060	you
240000	243060	you
270000	273060	you
300000	302000	you
306000	308000	am I audible?
318000	320000	am I audible?
320000	322000	yes, great, great, great
322000	324000	so let's begin
324000	327000	just quick show of hands in case my screen is visible
330000	331000	cool
331000	333000	cool then, let's begin
333000	335000	it is 9.05 I guess
335000	337000	we are all good, let's begin
337000	339000	so, hi I am Shashwath
339000	341000	I will be filling in for Uttam for
341000	343000	I think three classes
343000	345000	so in these three classes we will be talking
345000	347000	a lot about a lot of things
347000	349000	but we will also be talking about
349000	351000	some of the things that we will be talking about
351000	353000	so let's begin
353000	355000	so let's begin
355000	357000	so hi I am Shashwath
357000	359000	I will be filling in for Uttam for
359000	361000	but we will be getting started with
361000	363000	one of the most important things
363000	365000	especially when you think about front end development
365000	367000	so let me
367000	369000	so first of all
369000	371000	let us talk about the agenda for today
371000	373000	as you could see we have a couple of things on our board today
373000	377000	firstly I want to cover up what is in DOM
377000	379000	basically give you an idea what DOM is
379000	381000	then we will be talking about
381000	383000	how can we retrieve an element
383000	385000	because DOM is more like a tree structure
385000	387000	so how do we retrieve a particular element
387000	389000	out of that tree
389000	391000	and then we have to perform some operations on it
391000	393000	that would bring us to the third point
393000	395000	which is event and event listener
395000	397000	and certain functions
397000	399000	like createElement, appendChild, innerHTML, innerText
399000	401000	so I will be setting context
401000	403000	for all of these things
403000	405000	and we will try to cover all of these things
405000	407000	in today's class
407000	409000	cool
409000	411000	just a quick
411000	413000	reminder in case
413000	415000	you are not able to follow
415000	417000	feel free to raise your hand
417000	419000	feel free to comment
419000	421000	in the chat
421000	423000	I will be going over it
423000	425000	once again
425000	427000	all good
427000	429000	shall we begin
429000	431000	yes
431000	433000	yes yes yes
433000	435000	let us
435000	437000	begin
439000	441000	so I have
441000	443000	cloned the repository
443000	445000	that you guys were already working on
447000	449000	and I will be continuing
449000	451000	from that repo itself
451000	453000	cool
453000	455000	just give me a second
459000	461000	so let us get started
461000	463000	what is DOM
463000	465000	it is a very simple question
465000	467000	so let me write a bookish definition
467000	469000	for it first and then
469000	471000	we will understand it in detail
471000	473000	right
473000	475000	DOM basically stands for
477000	479000	document
479000	481000	object
481000	483000	model
483000	485000	that's it
485000	487000	that is what DOM is
487000	489000	now let me say
489000	491000	let me create
491000	493000	an index file here
493000	495000	I will fill in a couple of things
495000	497000	and here I will say
497000	499000	let me create a div here very simple
499000	501000	let me say
501000	503000	hello
503000	505000	scalar
505000	507000	and let me save this
507000	509000	and now I will
509000	511000	cool
531000	533000	so
533000	535000	I simply had written
535000	537000	I have simply
537000	539000	written here a very simple
539000	541000	HTML page which we will be
541000	543000	going through in detail
543000	545000	I have simply created here a single div element
545000	547000	and nothing else
547000	549000	you could go to the elements tab here
549000	551000	and here you could see everything
551000	553000	present here so this
553000	555000	matches exactly what I have written here
555000	557000	yes
557000	559000	can you increase the font in HTML
559000	561000	sure I can
561000	563000	cool
563000	565000	it should be
565000	567000	enough
567000	569000	so here
569000	571000	I have written hello
571000	573000	scalar here that is what it is reflecting here
573000	575000	so everything that you see here
575000	577000	is your DOM
577000	579000	and all of this is present on
579000	581000	your document
581000	583000	so let me say
583000	585000	document as you could see
585000	587000	the entire thing got selected
587000	589000	because inside of this document
589000	591000	I have the whole thing present
591000	593000	so this is why it is called
593000	595000	document object model
595000	597000	before I get into
597000	599000	detail what exactly DOM
599000	601000	is now so let me
601000	603000	write the definition for it
