start	end	text
0	2060	you
30000	32060	you
60000	63060	you
90000	93060	you
120000	123060	you
150000	152060	you
157000	159000	hello
159000	160000	here everyone
160000	162000	Desha Janya
162000	165000	Abhinav
165000	168000	I thought you weren't going to join
168000	173000	Abhishek, Ahima, Dharam, Ashish, Ashwin
173000	175000	Mangeem was also not going to join
175000	181000	Dheeraj, Pramod, Tejal, Muniswara, Rohit, Sambet, Shashank
183000	185000	Asha is important
185000	189000	That's the dedication I am personally looking for
189000	191000	one day
197000	199000	Cool then let me share my screen
199000	201000	and
201000	203000	to be honest
203000	205000	I didn't really do much
205000	207000	on the internet front
207000	209000	but
209000	211000	let's see
217000	219000	let me know
219000	221000	once my screen is
221000	223000	visible
231000	237000	we'll wait for another minute
237000	239000	and then we'll begin
239000	241000	and first of all thank you
241000	243000	thank you for joining on a non-class day
243000	245000	and
245000	247000	folks who haven't joined
247000	249000	they can obviously watch the recording
249000	251000	and tomorrow before starting the lecture
251000	253000	I'll go through
253000	255000	whatever doubts they may have
255000	257000	so it's a mistake on my end
257000	259000	so I'll take care
259000	261000	of it
261000	263000	right
263000	265000	Abhishek
265000	267000	it's evening
267000	269000	right
271000	273000	cool then
273000	275000	I think
275000	277000	considering
277000	279000	we got a head start
279000	281000	yesterday
281000	283000	so
283000	285000	we'll probably end the lecture also a little early
285000	287000	today
287000	289000	I'll try to make sure
289000	291000	if we can enter
291000	293000	the lecture a little early
295000	297000	cool then
297000	299000	it's 9.05 let's begin
299000	301000	so I'll start from the very start
301000	303000	obviously the part that we had covered
303000	305000	in the last class
305000	307000	I'll quickly go over through that
307000	309000	and in case any of those
309000	311000	things is not clear to you
311000	313000	you can ask me again
313000	315000	just a quick show of hands
315000	317000	if the screen quality and everything is fine
317000	319000	yes
321000	323000	yes right
323000	325000	in case the screen
325000	327000	quality reduces
327000	329000	which I hope it not
329000	331000	let me know we'll wait for a while and then
331000	333000	we'll begin
333000	335000	cool then let's begin
335000	337000	so
337000	339000	let's start from the
339000	341000	very start I'll assume that
341000	343000	we didn't have much talk
343000	345000	yesterday
345000	347000	so if you remember
347000	349000	we discussed in the last class that
349000	351000	we haven't installed JavaScript
351000	353000	anywhere
353000	355000	it's been just there
355000	357000	either we've been using it in our browser
357000	359000	either we are simply creating
359000	361000	an HTML file and directly
361000	363000	writing JavaScript in the
363000	365000	script app
365000	367000	so we haven't really installed
367000	369000	JavaScript
369000	371000	so the answer is have you installed JavaScript
371000	373000	obviously the answer is no
373000	375000	so you cannot really do much with JavaScript
375000	377000	alone as we discussed in the last class
377000	379000	and
379000	381000	JavaScript just gives you
381000	383000	the logic part of things
383000	385000	so let's say just
385000	387000	gives you just the logic
387000	389000	that's it nothing else
389000	391000	so basically if it just gives me the logic
391000	393000	which means
393000	395000	it's give me if a statement
395000	397000	for
397000	399000	new
399000	401000	variable
401000	403000	etc
403000	405000	so it just give me
405000	407000	these things that I can build my logic
407000	409000	but I cannot really build
409000	411000	out a feature feature out of it
411000	413000	so it is
413000	415000	sort of like a headless
415000	417000	I cannot do much with it
417000	419000	so which is why
419000	421000	we
421000	423000	super boost somehow
423000	425000	JavaScript with something called an
425000	427000	environment
427000	429000	so
429000	431000	some of the
431000	433000	environments that you may have
433000	435000	worked on
435000	437000	would like to know some of the
437000	439000	environments that you have worked on
439000	441000	with JavaScript
441000	443000	one is definitely
443000	445000	browser correct
445000	447000	what's the other one
447000	449000	node
449000	451000	correct
451000	453000	so we have browser and node
453000	455000	and there are couple more
