start	end	text
0	2060	you
30000	33060	you
60000	63060	you
90000	93060	you
120000	123060	you
150000	152000	you
152000	154000	you
154000	156000	you
156000	158000	you
158000	160000	everyone
160000	162000	you
162000	164000	you
164000	166000	you
166000	168000	you
168000	170000	you
170000	172000	you
172000	174000	you
174000	176000	you
176000	178000	you
178000	180000	bit
180000	182000	bit
182000	184000	bit
184000	186000	bit
186000	188000	bit
188000	190000	bit
190000	192000	bit
192000	200000	bit
200000	202000	bit
202000	206000	bit
206000	225160	I can help anyone any doubts question to yesterday's session because what was the
225160	231240	question do click the button then it is destroyed but two new button will be
231240	235000	created at its place the next two what it should also behave like the above
235000	239280	button so what is the behavior of the above button the behavior of the above
239280	246560	button yes so what is the behavior of the other button the behavior of the
246560	252560	above button is that on click of the button that button will be destroyed but
252560	258000	two new buttons will be created on its place so what we had done we
258000	264520	implemented it that way right so how did we do that we have a button initially
264520	270560	so we put an event listener on its parent it is double hold down and the
270560	276160	event listener was click so we are listening to click event
278600	281600	is it fine now
284480	291120	great okay so there is a click event that we are listening to on click event
291120	294360	we are doing these many things so basically whatever the question is
294360	298640	asking me to do I'm doing it here so let's go to the question step by step on
298640	302560	click of the button that button will be destroyed we are destroying that button
302560	307680	at the end right it says get two new button will be created so how did we
307680	311560	create button if you remember we created by using something called document dot
311560	318080	create element document is again an object which is provided to us via an
318080	322880	environment which is browser environment so in here we have the
322880	327240	button right I said I simply said why I want to create a button I want to create
327240	332480	an equivalent of this button so what are certain properties of this button the
332480	336960	inner text is saying double so we had wrote this first we created the button
336960	341440	online about 23 then we put the inner text to double exactly like this one
341440	346280	then we also see key by classes also there and it is also said to double so
346280	351160	we simply set my set a new attribute what what attribute I want to set class
351160	357080	and this will be double likewise I created a second button so in this part
357080	362600	I am simply creating two buttons right here it says key but two new buttons
362600	367400	will be created so I was able to create two new buttons now these two buttons
367400	371800	have to be appended somewhere but if these two are created in memory but how
371800	377800	do I bring it out to my Dom so I already have access to my parent double
377800	382120	holder so I said keep a TK whatever button was created simply appended so
382120	386120	this first button got appended to double holder and second button got appended to
386120	390560	double holder then I wanted to destroy the button which was clicked so if you
390560	394280	remember we learned about target and current target in last class target
394280	401840	tells us about the place where the event originated so on click of certain
401840	406760	button only this event must have been originating so from that event or
406760	411720	target I am simply calling remove and that's all I was able to solve for this
411720	416680	problem on click of this button one button will be destroyed and two new
