start	end	text
0	19520	Hi all good evening so how's your weekend going guys so give me thumbs up from audible
19520	29920	and visible thank you guys can anyone share the whatsapp group link
29920	53120	so how's your weekend going guys I have to log in in my system
59920	75600	how's weather at your respective places is it hot does it feel like summer already
75600	94680	we feel it completely different like why you know there's no winter in Hyderabad this year
94680	116240	must be our batch name was scale of instruction okay bangalore even bangalore okay then you
116240	124840	can say that if Bangalore is hot now Hyderabad is off to be I've been in Bangalore only for
124840	141760	three months and I have really great time there my voice is echoing okay let me recheck
142360	153800	is it better now guys can you if I speak okay still the same issue how many of you
153800	164280	feel that my voice is echoing not clear okay let me try to reconnect it
201760	214120	guys can you hear me again like I'm trying retrying it I rejoined the class
214120	228720	now okay is my voice is also good great great so okay there's a water issue in Bangalore
228720	238040	that's that's really crazy still still like we have much of summer is yet to be started because
238040	244120	I consider summer according to me is after Holi or Shivaratri specific to specifically
244120	259600	like isn't it that's how people say to us isn't it so let me share my screen let's test this one
259600	268840	also yeah someone is off the channel global warming you can see the my screen share right
268840	279680	guys is my screen share visible cool so let's have three minutes timer then we'll get started
290160	294640	I'll drop a message here and what's up
307320	318480	the message no cases is there any challenge with your assignments or like did anyone attempt
318480	326040	contests in practice mode the last vegetables is this one because I see there is a drop in
326040	331720	percentages of people who are trying to solve it I usually get the metrics of a bad so I'm
331720	338360	just thinking from your perspective like is everyone following up with their assignment
338360	348320	problems are everyone solving it okay I see less amount of people today in class is it because of
348320	370560	weekend Saturday class no idea okay something I'll come to that point yeah right the topics
370560	375720	we are discussing yes the problems that you get post class right those are the questions
375720	390400	that if you are able to solve could good enough okay he monkey has said that she's at school
390400	404680	it's such night okay notice okay after some revision will solve it okay the only reason
404680	409920	that I say that keep solving after each class is because the moment you will go for revision
409920	416760	right I'll be moving towards react I'll be moving towards node J's so it will be really difficult
416760	421640	to come back and catch it up that's the reason why I would suggest right after each class go
421640	427200	and try to solve it if you face any challenges to let me know because that's how you can keep
427200	443360	up in the right way or else it will be a burden for you at the last moment okay okay
443360	448960	let me set up iPad screen sharing
473360	487880	guys do let me know if you can see the screen share of iPad can you explain about the filtering
487880	494560	part we'll come to that coming so we'll come to that we'll cover it up everything so guys
494560	501400	let's get started I think we are high time isn't it can we get started a final thumbs up if you
501400	513560	can get started with today's class good so let's do this case till now this is the final class
513560	525400	for a can ban so we'll be completing all the features we discussed in the starting all features
525400	534880	then we'll go for deployment so two things that will be doing it okay now when it comes
