start	end	text
0	24040	hi all I'm audible and visible guys good evening great so let me share my
24040	36000	screen do let me know if my screen share also works fine great let me start
36000	39000	five minutes timer
45920	52800	yes how many of you did went home and tried or like I after the class tried
52800	58760	you know reopening that project and checking on that can man board have you
58760	61760	all gone through the code base
64520	69200	okay so how is the experience I say in turn project his timers he has j's are
69200	79120	you able to understand and great some with Kabir we can check it we have four
79120	84040	minutes or else if you're not able to complete informants we can take it you
84040	90360	know after class that's all that's also fine right we can we'll take it post
90360	98040	class let's take it that way great some with them it can you raise a PR or show
98040	108680	it to everyone okay great so let me open this link so he has deployed yes let's
108680	111680	see what somebody has done
113760	122120	well this looks cool so he had played around you know with CSS and made
122120	127200	something looking make it look cool cool so if you see to do in progress and
127200	133080	QA and done so I really appreciate this one because you played around with some
133080	138400	of the styles and you know on hover of this button other than take you know
138920	144120	great so this thing you can fix it some it's still like you can make it look
144120	154440	further better this empty space I think you missed some padding on the right
160320	167160	okay I'm not exactly sure where it is coming from but you can address this
167160	175880	one's okay that's a small thing and then let's say if I make task one you can
175880	181680	also make this rounded one let's say to do okay he had given a create button can
181680	186040	you see this guys instead of giving alt button so we can also he has created a
186040	189400	create button like on click of this thing I think the activity will take
189400	194320	place right let's say okay nice another pop-up which shows that hey ticket got
194320	200920	created instead of alert box where we were trying to delete it he has done
200920	210880	this now let's say if I try to edit this one hey edit button enabled for the
210880	218240	ticket ID cool so let's I update this 101 and I close this let's see if this
218240	222720	all things have been updated in the local storage too
224320	237400	okay to do right great so that got updated now it also has a status and
237400	243600	everything fine now let's see if I move to in progress nothing is there a good
243600	247720	in progress double-click it I can see everything now let's say I have another
247720	257680	task let's say zero or task zero two and I say in progress create fine let's
257680	267120	say if I filter by zero two cool zero one great so this was really cool you
267120	272880	know add on some bit appreciate it so guys do you like this I'll bookmark this
272880	278920	one in the class so this is an add-on from the features that some with tried
278920	284160	it hopefully everyone explored this you know if someone want to add more
284160	288560	features on to this one he can you can talk to him if one thing you can do
288560	296120	somebody said share your kit link in group it's up to it's your personal
296120	301360	project maybe what this onto your resume if you want to share with everyone
301360	305400	that's okay or else anyone some someone can take inspiration from this deployed
305400	312040	website they can add on their own things right but I've do I did I make justice
