start	end	text
0	28240	Hi all, good evening, hello Kavya and Roshan and you, I'm audible and visible guys, give
28240	40160	me thumbs up if you can hear me out, great, okay, good evening Sambit, good evening Abhishek,
40160	53840	hello, guys let me know if screen share is working, I'll just share it, is screen share
54240	61360	great, let's have seven minutes timer, we'll get started in seven minutes but
62320	65760	just want to know a few things before we get started with the class,
70640	78400	okay, I see some good amount of people joined so I just want to know a few things,
78960	83760	before this I have to share my iPad, give me a second quick time player,
83760	88320	where is this,
105200	108640	iPad is also fine right, you are able to see iPad screen,
109360	117360	okay great, so guys do let me know how many of you are able to maintain 90 and above PSP,
118400	123280	90 and above, if you are able to maintain 90 and above give me thumbs up, if not give me thumbs
123280	133760	down, okay great Abhinav, okay I see few people like give me thumbs up, so guys react it please,
134560	145520	let's need to know like how many, okay I'll write it down, PSP of 90% and above,
151520	163360	above 90% 99 great, okay so like I see only few people got reacted but there are two people who
163840	171120	are not able to maintain it, so guys can I help you out, do I have to contribute anything from my side,
183040	187520	because I just want you to you know, people I know that most of the people who are attending
187520	194080	my session are able to maintain 90 and above, just have seen few people who are not able to
194080	200480	like you know come up with like PSP percentage, because what I've seen is this LLD curriculum
200480	204960	right, this assignment problems hardly take half an hour to solve I guess,
206800	214960	30 minutes for a race class, not like DSA isn't it, like it's really you can complete it really
215520	225520	fast speed, okay so I would urge everyone right to keep it up as much as possible
225520	230720	and kudos to all of you like who are maintaining 90 and above, I've received personal comments
230720	240400	and chats, great work guys keep doing it, great so one thing I want to talk about is like last
240720	245120	how many of you were clear about the machine coding problems did we solve,
250320	251600	whether it's counter
254160	260160	or a star problem, star rating problem, does it find easy, easy enough like
260960	264960	are you able to relate it, code it, think in terms of solving a problem,
265840	273040	great I see three people reacting to it, guys can anyone drop a message in whatsapp chat,
276480	287120	my first class today excited, yeah excited as well, hope you have a great journey, great learning, so
287120	292160	we have still three minutes to go ahead, so anyone having any questions from the previous classes do
292160	299360	let me know if you have anything to ask for or anything you have concerns related to anything
299360	303840	like related to career or anything you have random points you can talk to me, so three minutes we'll
303840	308080	wait till then people join then once we once people join we'll get started,
308800	313840	you can talk to me for three minutes we'll wait till then people join then once we once people
313840	329440	join we'll get started, okay let me message it in the chat meanwhile
338720	339440	so
347200	349760	many people struggling to get full stack dev job,
351360	358400	okay yeah full stack dev is actually I would say tricky right because
360240	363680	when you talk about full stack as a profile right
368320	371280	there are two things front end focused
376480	378160	or back end focused
382960	393040	okay this is difficult to get it done because most of the back end systems whatever you see today
393840	404560	are focused on something which are related to java or you can say go lang like a whole
404560	413600	scaler is built on ruby and a part of it is having node js also you see there's a share between each
413600	418880	of them like like there are different shares from the back and when it comes to front end you most
418880	426240	preferred choice is react and then you have angular up to an extent where it goes to enterprise
426240	434640	or big companies okay but what we are picking up here to get our capability of full stack build
434640	440640	we picked it up murn stack such that we'll get good with front end and we'll have better idea
440640	447440	with node shares when you do this this is really easy out of the all the choices you have to
447440	454480	understand full end-to-end ecosystem only because it's based on completely javascript
454480	460480	as a core language once you learn js you will be able to deal with it okay but if you want to
460480	466400	go with different sorts of thing right it's really difficult so when you go for full stack
466400	472720	people are expecting a different combinations of things can you imagine it would be really
472800	480000	difficult for a person to combine and get a job okay but if you are particularly applying
480000	486720	on a react profiles you will get more options if you go for murn stack you'll see some options
486720	496480	so you have to pick and take it up you'll have a whole back end and front end things then depending
496480	501760	on company's requirement you can also learn new languages so you will be able to take it up one
501760	507520	by one okay so that's what i can tell from my experience okay
511440	515680	okay what about front end opportunities i see very less nowadays in scalar
516320	522800	front end opportunities okay i'm not exactly sure in scalar particularly from scalar
522800	528000	port placement portfolio but you have a good amount abundant amount of opportunities if you
528000	535120	go in any job or portfolio sites right you may be building the insta higher anything okay
538160	542320	can we have two event listeners for one element double click yes open there you can have it
544480	550800	uh whatever which is better for back end java springwood notches expresses abhishek i wouldn't
550800	556160	say that anything is better everyone is solving a different sort of problem uh you know one thing
556160	563120	if company needs other thing you should be in situation to like learn and write code it code
563120	568400	it down because when you go to for the product based companies language is not the skill that
568400	575520	people try to find it on the you are questioned on uh like your basics and ability to learn things
576080	581600	okay language is not the parameter on which product this works even if you're from java you
581600	586080	will be hired in microsoft because there's dot dot net they're working on if you know only golang
586080	591440	even then you can come to paypal where java works you can go to uber where golang is preferred but
591440	597760	you can if you know java node they'll take it so language is not a question when it goes to
598480	603760	bigger companies so you can pick it up anything and do it you should be in a situation to learn
603760	612080	from non-dick uh job experience when we should start looking for job after js react please go
612080	618960	after react at least please don't react uh build projects on that only after that try to apply it
618960	622320	because there's a one your portfolio will be also built up to the next step
624960	630880	uh you are a ux designer upendra then um i would say uh go with the front end def
630880	637280	if front end there would be easy and relatable for you like you will be able to relate more
638240	645200	right having a knowledge is good uh but uh on google stack but prefer to go with friend and
645200	650000	if you're coming into development compared to angular or react with this problem of course
650000	656080	react you can go and check github stars on uh either of the code bases but i think we have
656080	662800	elapsed the time guys we i don't see people jumping into today's class i'm not sure they say
662800	673120	anything specific okay okay uh back end is difficult right uh nothing is difficult it's
673120	679920	it's out of interest uh since if you see for friend and we started covering uh we started
679920	689120	covering from the basics right like if you see we started with html then css then js only then
689120	694240	we are moving to framework if you see combine all of these things front end will look difficult
694240	699120	go and ask someone back in person like is it do would you don't would do you want to do it
699120	708400	friend and he would avoid it okay uh okay so valentine celebrations are basic uh many people
708400	717040	avoided the class today can be anyways guys so i'll take few more questions if you have anything
717040	723440	related to career-based things i'll share my opinions on it hope uh you will be able to take
723440	731760	that and work towards better thing breakup is going on okay yeah then you can patch up again guys
732720	738880	hopefully so let's get started with today's class guys now in last class we started with machine
738880	745200	coding uh specifically uh type of questions uh a pattern of questions that can be asked in
746000	752960	uh like friend and lld interviews so if you see we picked two questions one was a counter
752960	760560	and one was a star rating problem so we'll move ahead from here so we'll build one a bit complicated
761280	769840	uh problem which is like nested comments so if you see in facebook or instagram you have
769840	776240	comment section where on one comment uh you'll be able to add your comment then you can add
776240	781360	another comment so you keep on replying to one chain so we'll try to replicate this particular
782080	787360	nested comment uh you know component right we'll try to implement and see what it takes to build
787760	794480	uh using simple html css js then we also have another question where you have to
795040	801440	you know play around with the otp like if you remember we have whenever you want to
801440	808400	enter into any otp you have boxes right uh four boxes or six boxes depending on it so how do
808400	814240	you build an interface and how do you manage an otp uh like entering field this would be really
814240	822560	basic but we'll be building this then we'll also build a progress bar uh when i say progress bar
822560	827760	it's just like low showing that loading uh like how much how you can build a progress bar where
827760	833280	you have let's say bar and then there's a loading filling it and then going back so we'll try to
833280	838320	implement these three things hopefully i'll try to make it as interesting as possible and as you
838320	844000	know i need your support keep keep on adding the comments that you have in your whatever thought
844000	850480	process you comes by when you see a question so excited guys let's start with the three questions
850480	855040	that we have because everything is you can see in the social media platform or everything you can
855040	861360	see across your any apps that you come across these components will be reflected okay so let's
861360	868240	uh not waste time here on the ipad let's move to the coding directly so first and foremost thing
868640	875440	i'll show what this nested components look like so we'll try to mimic it now i hope you can see
877040	882880	browser where you see the first comment let's say this is a dummy comment that has been added
883600	890000	and once there's an option that i can add a reply to it now once i click add reply do you see there's
890000	896560	an input element with a form input and there is a submit button now there here you can write some
896560	900960	let's say second comment uh i'm using some dummy content
903760	909600	okay now once you submit it what happens you see this a comment has been added
910640	917680	now what if i want to add a comment here again now do you see when i'm adding a comment i can add here
918480	928400	second comment so on one layer to the top comment you can add any number of comments and you can
928400	934720	also add if you want to reply to this one you can add it like a third comment third hyphen one
934720	946000	commentator okay so are you able to relate uh how this is going to work from a functionality point
946000	952000	of view like on one comment you can add a number of comments on again n comments you can keep on
952000	957440	add any number of comments at you so it's a chain that keeps on going building it's a really
957440	963280	relatable component you go into any social media app where likes and comment sections are available
965200	970400	there you will be able to see it can we create another parent comment section you can create
970960	975440	as much as much you wanted something but i was just focusing on like how do you relay
976400	980880	sub comments to the comment creating initial comment section is really easy
980880	987120	but the main problem really revolves around like how do you build this chain okay
991520	998400	so guys uh do you understand what we are uh yeah it's like creating a new ticket in the to do
998400	1005360	something similar yeah uh you can say that yeah uh recursion will come to that uh
1006480	1014400	franco so we'll explore this possible steps like but let's let's as i say as we approached in last
1014400	1019600	class what we'll do is that once you have understood what's the requirement that we have to build
1019600	1025040	now we'll focus on building a layout for this one then a bit of css around it then we'll go
1025040	1030160	to the js part where we'll code down the logic for this i hope that point is clear guys
1033280	1036320	chalo let's let's approach that one uh
1038480	1044480	going back here uh i'll create a new class class 18
1047520	1054240	let's say uh we start with uh what i'll do okay let's let's build it in one file itself
1055040	1065760	i can say nested comments dot html okay now i'll add a dummy layout
1066960	1070320	i can give a title as nested comments
1074720	1079200	so one thing i'll do is like i'll minimize this one uh before this i'll open it in the preview
1079760	1087440	on the right side so that we can replicate that one now i'll close this for our sake now
1088240	1094080	now let's get started guys now one thing really common that we know is that anything that you are
1094080	1100160	building you you have something like a container revolving around it so i'll have a container or
1100240	1107920	dev container nothing else in that now comes you are you now it's your it's your game guys
1107920	1113280	you have to suggest me this let's let's uh just focus on this part as of now
1115040	1119040	first comment is static so let's build the static part now what do you think
1119040	1120960	where how we should get started with this part
1120960	1127920	uh h2 and the spandead uh
1130640	1136960	one thing let's say uh do you see this is a first uh again a container i don't say it's a diff
1136960	1143520	container somebody is going for h2 uh which is like he's trying to add this then then there is
1143520	1148560	something like add reply now let's say uh what it takes what we'll try to build this one and we'll
1148560	1155520	try to see you uh so i have some approach in my mind i'll try to show it to you let's say i have
1155520	1165760	a comment container let's say this is a container where all comments will be there like okay first
1165760	1172800	level comment whichever we are which is this is this part specifically now let's say if you see
1172800	1180480	this is like a card which is having a box shadow are you able to relate this one this is a card
1180480	1186800	which is having a box shadow so let's let's do that firstly inside comments container i'll have
1186800	1193920	like let's say i say all comments in it which will have all comments inside this i'll create a div
1193920	1199920	with a card first okay till now i haven't done anything so i created a comment section then i
1199920	1206400	went to all comments i created a card just uh subreading the concerns of containers now now comes
1208080	1217680	uh like we can have a span tag or we can go with a h2 tag if we if we are providing
1217680	1222080	see your styles for this one we can go with span tag and we can deal with this
1222080	1226080	let's say first commentator i just add this
1228320	1235440	okay let's say i also give a class uh called as a text because this is just a simple text
1236000	1242880	what we are adding we'll have a common css for this one added down the line now then we have
1242880	1250400	a span tag with a reply uh you know uh span which we say that add reply
1252240	1261360	now okay this is what we have designed till now then other than this card other than this card
1261360	1268480	we also have something like once you click add reply you have simple two things okay uh input
1268480	1272720	element and submit event submit button let's try to replicate that one too
1275280	1281760	uh so what we'll do here is that inside all comment section below the cards i'll do something like
1281760	1287040	dev uh comments let's say reply container
1290960	1295280	once i have this container inside this thing i have again same input element
1296000	1308640	uh let's say type equal to text okay it didn't work let's say again uh input element
1310240	1319520	type text then also you have a button a submit button so for this one i'll say button submit
1319840	1330240	submit okay on a top level this is what we have right let's say i have a class btm and then
1332960	1340080	for input element again uh we have let's say if you see here uh write your reply is something
1340080	1347760	we are showing it inside uh add reply is clickable huh yes it's clickable if you see
1347760	1353920	i'm moving or cursor it is pointing it if i click it only then i'm able to create it caveat
1356720	1362400	okay then once i have this uh i'll have a placeholder here which says
1366240	1367200	write your reply
1367760	1376400	okay once i have write your reply now on a top level on a top really top level we have addressed
1377200	1388960	like uh what a particular uh basic layout would look like right because this is where we'll have
1389680	1394640	because this is where we'll have uh like let's say
1397360	1399360	already added comment
1404960	1408960	and this will help us to create new comments
1408960	1418000	comments right this is a basic idea that we had now let's let's go and try to make
1418000	1424240	a bad bit styles to this one uh one thing i can do it like do you do you want me to add styles
1424240	1430640	here itself or create a separate file because this will have a large amount of css guys that
1430640	1436480	we have to address what would you prefer guys
1438720	1444240	here is fine okay let's let's do it here itself so first and foremost thing i'll go around and
1444240	1450480	play around with the card now if you see this card css are specifically uh we can create a
1450480	1455120	new file i'll i'll copy it and create it there guys once we understand it while we create there
1455120	1463840	okay now let's say we have this card now we are adding uh css to this one so first and foremost
1463840	1469760	thing do you see uh box shadow we'll add a box shadow to this one uh let's say
1472720	1476000	now do you remember guys what are the different fields of box shadow gives
1476000	1478880	guys
1482160	1485840	horizontal vertical shadow how much shadow do you need
1485840	1490880	and like how much like how where do you want to bend that particular thing then
1496400	1503440	so i have prepared this one so i'm entering the values directly but now let's see if this is
1503440	1510000	looking like a orbit shadow or will have a color to it so that you can be able to see uh understand
1510000	1521520	this one let's say background color rgb let's say i have triple two triple two triple two so that
1521520	1528320	you will be able to see a hash color added please repeat the box shadow units okay let's let's do
1528320	1530240	this one let's copy this one
1535760	1546000	now if you see i'm selecting this thing and as i told you like if you want to play around with
1546000	1557520	a box shadow you can always select uh like if you see it here now when i click here now if you see
1557840	1564640	offset x offset if i play around if i make it make it 10 pixel let's say 10 pixel now do you see any
1564640	1576720	change here so uh let's say if i make other things let's say around the y-axis
1578800	1584000	do you see a shadow which is moving across directions when i'm moving it around
1584960	1591760	direction of shadow along the x-axis y-axis now those are the first two values then
1591760	1599120	you have a blur effect how much blur you need it okay how many pixels of blur you need it then
1599120	1604960	you have something like spread how long you want to spread this shadow i hope you are able to see
1604960	1612960	this guys uh right firstly x and y axis where you want to move the shadow then how much amount
1612960	1619360	of blur you want that shadow to be then how long you want to spread that shadow okay all these
1619360	1625840	fields now if i refresh it currently this is how it looks like okay once i added i added here
1626480	1631920	till now only two fields a background color so that we can see the box elevated and a box shadow
1632560	1637920	now once we have done this let's let's go and someone suggested me to add a border radius
1637920	1649360	i'll give let's say 0.8 rem okay once i have this yeah it's look too much curved let's say 6 rem
1652240	1654000	still let's look too much curved
1654000	1663760	0.4 works
1666480	1673440	once we have this let's say i want some differentiator from top i'll give a 10
1673440	1680960	pixel differentiator and like getting something margin and let's say also i have padding across
1680960	1689120	sites like around the sites i have some padding four sites 10 pixel around the main this this item
1689120	1697280	okay once i have this let's say also do i need height or it is automatically taken like i have
1697280	1707680	to have to specify height what if what if i give height as auto what do you think the value will
1707680	1716080	be applied if i make it auto what do you think auto will make it
1718880	1723600	anything guys anyone having any idea some which has same value
1726320	1730560	pradeep says auto but can anyone guess like
1731200	1739040	so it will automatically calculate as per like you know the container and like firstly according
1739040	1744960	to the screen size right it will be automatically calculating exact height that is applied now you
1744960	1751200	can always go and see here what is the exact height that is being calculated using like computer step
1751600	1759440	using like computer step okay also i think here also you'll be able to see
1759440	1765920	width is available but height if you see 18 pixel this got automatically applied calculating
1765920	1770560	when you have auto now if i reduce the screen size let's say if i show you how this works
1771280	1772800	if i reduce the screen size
1773120	1782080	since uh this is about height that's maximum it is uh minimum it is taking but i hope you generally
1782080	1786320	have an idea like how does auto works it's calculating based on the content
1788800	1795840	okay i will come to that part but now let's move to the second thing uh where you want to
1796640	1806000	add color so i would say that let's say i have reply now i can i if i what if i want to apply
1806880	1808800	uh just a second guys
1812160	1818080	if you see it here inside inside this card you have something like add reply
1818080	1827920	this card you have something like add reply okay let's pick this css apply css for this one dot
1830160	1839600	reply inside this now what what sort of colors do we see like if you come in here uh see it here
1841120	1846400	now if i don't want to let's say if i want to make this as a color this color particular color
1846400	1856240	let me go here and i'll do like i have a color already so rgb now i hope everyone remembers rgb
1857200	1862560	i read green blue percentages like how many percentages we need and all those stuff
1863600	1866080	of combination of them which gives you
1868400	1875520	color now if you see that color has been exactly applied then okay yeah cursor should be pointer
1875520	1882800	uh as some it says then can i make font weight as bolder
1885600	1894000	so that it looks a bit bold now that's fine but let's add you know if you see it here for
1894000	1900000	the text part let's add some you know if the text is holding for this all the parts now if you see
1900560	1907360	so let's have some content for this one i'll go and select text and on this i'll say that hey
1907360	1917440	can i make display block so that what if okay let's say i make a display block and i give font size as
1920160	1925760	20 pixel to resemble that one and they'll say i'll say font weight as a bolder
1925840	1934320	no that's fine do i need display block if i can convert this into div instead of a span my problem
1934320	1938720	would be solved is it isn't it why do i need a span
1941760	1948240	doesn't make any sense to have a spandex you know let's say i convert this also into div
1948960	1950880	let's say i convert this also into div
1953600	1959200	because it doesn't really make we convert a particular thing into other things now so
1960400	1964960	is this clear firstly to everyone like how we managing this one
1970960	1977200	like first part we created a cards container where we have two things first commentator and
1977200	1982320	add reply so if we went on to first select the card on this card we added box shadow
1983040	1990240	border radius background color margin top adding height right some basic basic fields
1991040	2002800	now add reply now let's say we want to change this now do you see one differentiator that
2002800	2009440	there's always a gap coming for the next level element for the each level let's say i write down
2011200	2017360	if you see i write it down here for each level the next element whichever child element we are
2017360	2026640	creating it it it moves somewhat on the right side right now how can you think like we cannot
2026640	2036320	achieve this how can you what can how is it possible for us to achieve this just think of it
2036320	2053600	here we have everything can anyone think of any idea left margin is absolutely right but
2053600	2057360	on which element you will apply left margin margin left how would you apply
2057920	2063840	for each and every element opendra think of that thing like how would you apply margin left
2064400	2073840	for each of the new incoming child element so one hint i want to give you is that we have to use a
2075520	2081120	pseudo selector we can add margin using j's parent matching plus one rib
2082080	2088080	uh okay the rest that's one of the way we can do it but think of like can we do it
2088080	2094960	simply using a pseudo selector how many of you remember n child or nth number
2095760	2101440	or that sort of thing like how we can access or if you have a multiple child using a parent
2101440	2107600	container and then trying to get the children's elements out of it now there is a new pseudo
2107600	2114240	selector that we might have might not have got exposed to it let's say i'm selecting all comments
2115040	2121440	okay all comments inside that all comments i'm selecting i'm saying that other than
2122400	2127280	other than first child can you apply margin first for the each and every child
2130000	2131360	can i say this this way
2131360	2137360	okay and i give as for them
2140640	2146400	other than first child apply margin left to each of the child
2151760	2157760	do you see it here like are you able to relate it because this is the first child card then the
2157760	2164000	other child is like comments other than the first child apply margin left to the each and every
2165040	2172160	next level containers but now do you see that is being applied
2180240	2182320	okay did i make any spelling mistakes here
2187760	2202160	okay why i cannot see it class applied here
2202560	2206560	so
2215840	2219280	can anyone think of like where we are failing like let's say
2220720	2224160	if i try to search with this in the chrome browser
2227120	2228560	not first child selector
2232160	2241280	okay see this is the same representation that we are using we are selecting a particular element
2241280	2248880	other than for that one except first child give it all get all okay let's see
2251760	2259120	if i go to all comments computer styles okay we'll come to that where the whites not applying it
2259120	2267680	but let's try to make no problem okay just follow up okay so first thing and foremost
2267680	2271840	like let's go to the simple one we'll come back to this one where we are applying it to the
2272560	2278000	child what we'll do is like if you see inside this container we also have a button class
