start	end	text
0	15320	hi all good evening guys can you give me some quick thumbs up if I'm audible and visible
15320	25520	okay great let me share my screen
25520	38160	do let me know if you can see the screen share too
38160	62240	seems to be my network is slow today
68240	70000	anyways we'll just speed test
86720	88160	it's very less isn't it
88160	96120	no worries if there's any connection issues we'll change the network
96120	106880	but guys how you doing how's your weekend going on do we have Kiran with us
106880	117400	yeah Kiran your suggestions great great I've seen you some comments in whatsapp
117400	124200	group so just wanted to understand your last message do you mind if I unmute you
124200	129280	and we can discuss over here or you want to take it up in the doubt session I'm
129400	151160	okay with that and thanks so much for answering questions too yeah okay I think
151160	156200	somebody has already answered that question yeah any approach like you can
156200	163400	have you know any number of fixes that you can deal with so even when you you
163400	170480	have to recheck only only one thing like is it is it easy to go and you know
170480	175320	play around with CSS updating it or removing it and adding into the term so
175320	179640	whichever is a costly operation you have to avoid that one and play around with
179640	185040	those things but those are really minute at their level so anything works Kiran
185080	190320	as far as you are understanding in the class we have already discussed that we
190320	195120	can deal with like display block and none or display flex for the for because
195120	206320	we were using flex there okay do you want me to unmute okay let me do that
206360	217080	yeah please go ahead again guys I'm not able to listen if anyone is able to
217080	225320	listen let me know if you're speaking yes I can hear you can yeah so when I
225320	230000	saw that lecture actually I wasn't attending that so I watched the
230000	235600	recording recording I saw that we were trying some different thing like array
235640	243120	making an array then deleting it then recreating it so that was okay but when
243120	250200	we use that for local storage also no then we have to always take care of that
250200	257840	deleting and recreating so that when we are updating the local storage it is up
257840	262400	to date till then so I thought that array would be better if we only use for
262400	268840	local storage and that filtering part will be only just CSS I mean that's what
268840	275160	I think but I don't know what consequences it may have later if there
275160	278960	is a bigger project or some bigger application so I just wanted to know
278960	283600	your views on that yeah so if you see right whenever I'm filtering things
283600	288320	logic I never I didn't play around with the local storage here I was just you
288320	293880	know removing the tickets and recreating whatever needed so when it comes to
293880	297280	filtering logic because you don't really need to apply on local storage like we
297280	301280	don't have any other extra parameter like an object whether to show on screen
301280	306360	or not to show on screen there's no differentiator there if you want to play
306360	310080	if you want to store anything in local storage that way then whenever you are
310080	314640	pushing each and every event into local storage you also have to say that is
314640	319480	this current task is shown on screen or not sure because you again you need a
319480	324960	new variable right so here I'm just using the array two loops one is filter
324960	330800	one is just trying to go for for each and create it yeah I mean whenever we
330800	337360	are trying to create that was a that was I didn't do still that local storage
337360	343720	part but what my idea was that whenever I'll be creating a ticket at that time
