start	end	text
30000	41560	hi all good evening guys am I audible and visible if you can hear me out can you give
41560	49080	it a thumbs up yeah great guys thank you so let me do the screen share
49080	74920	I know what topics for upcoming context will be yeah I'll come to that
74920	91840	so guys let me know if my screen share is also working fine okay so great so one small
91840	97280	announcement is that this weekend we won't have any class and you will be having the
97280	106120	contest on 24th and 25th Jan right two days of the weekend you can leverage it to attempt it and
106120	118000	this will be based on completely Dom plus HTML plus CSS till Dom part okay and it will also
118000	128440	include the bonds and throttling concept till last class the object oriented programming that
128440	136240	will start today will not be involved in it so I hope you are able you will be able to do it and
136240	142240	be prepared with this guys I think Dom is something you might be experienced with it like we have done
142240	149000	good enough project and you know machine coding and things so you know be prepared with these
149000	156400	two concepts also understand them maybe build your own example try to learn it is this clear
156400	165320	Kabir do you get the contest of like what will be asked in okay great so I hope everyone is
165320	170800	preparing eyes for the contest can we use our own data for solving questions in the contest
170800	182400	you should be able to I'm not exactly sure here as I have to you know I have to check on that how
182400	192120	does it work okay so firstly I'm not sure exactly whether it will be MCQ based it will be having
192120	200240	again machine coding around so and there might be a question where you have to code it down so
200280	208360	three things can be possibilities yeah but we have to submit there only yeah so you know if
208360	215240	it is of and machine coding around the questions will be have simple and straightforward it know
215240	221200	it wouldn't be that big because you have one one hour of context contest and you have to we have
221200	226840	to test you on base of three three knowledge right so if you think from that perspective
227240	236640	mostly it won't be there but you will be having a code and MCQ you have an MCQ mock interview
236640	242160	on Saturday also so can we take it on Sunday no you have two days right contest will be on
242160	254080	two days is it a flag should not be you know writing HTML will be same way right there
254080	260320	shouldn't be any plagiarism issues there okay if you face any of those challenges to let me know
260320	267800	we'll check with the team okay if you are able to execute all the test cases that's that's fine
267800	272680	like that's it that is what main discussion would be it wouldn't be like we are checking
272680	277760	plagiarism although all those things will not be considered right so you just have to execute the
277760	290160	test cases even you will be discussing right I think in HLD sessions where you will be
290160	295520	discussing how actually submission of this questions in contest happens like how what is
295520	302840	the workflow how they test all those you know test cases right like when you would submit your
303200	310360	question there are like 100 or 120 test cases runs simultaneously and you error is in populated
310360	314960	those things happen so fast you will be able to see like how they're working so it's not a
314960	322320	distributed system that of that scale but the processing is the mathematical computation is
322320	333000	heavy okay so we'll get to learn that also okay guys can anyone drop a message in chat
333000	342120	okay okay great some it will use it that thing itself so somebody has built another application
342120	350120	so let me bookmark this one also if you want me to use it for our whole batch
350120	366960	let me see great I have this okay this is a stopwatch I don't have a timer right how
367000	376160	many minutes timer I have to do or build this one some bit so you played around with the box
376160	383120	shadow where you are toggling the colors for each second each time the box had is changing
383120	388000	you have four types of classes flip being played around running through the loop is it
388000	399720	for each second you are having the inner text yeah you set interval and then you
399720	411040	are checking and updating the color right great good idea so I believe like somebody
411040	416120	has applied the same knowledge that we have all just learned it's really great that you
416160	420840	are applying in terms of project because this is where you get on add-on right that you are
420840	426880	learning a concept then you are applying back so from I think somebody are very much clear
426880	436640	with the dom right by now like dom and all those parts but good one good one some would
436640	440880	keep doing keep building good projects for us so I'll reset it I'll set for two minutes
440880	448240	guys then we'll get started but meanwhile anyone having any doubts from the last class
448240	455320	because we have you know picked up bit heavy heavy things like firstly we clear set timeout
455320	467800	then we understood set interval then we went on to understand debouncing then we understood
468360	476560	these are the four concepts we picked it up we used same sort of example as input search
476560	484400	okay but there are many other examples where you can use trottling that I have also given you
484400	490640	examples but hope you try it out and build it out guys you can expect at least one one question
490640	497480	on each of this in the contest so what I have done it for you guys is that as I promised in
497480	503320	last class that I will give you a screenshot where you know you directly see differentiation
503320	508280	and the kit of repo so I'll push this image where you can see that what is the purpose when to use
508280	513700	the bouncing when to use our trottling and what are the different parameters and the examples
513700	521600	events where you can build it okay I hope this thing also helps guys sort of a notes where you
521600	530680	get overview of debouncing and trottling okay so other than this thing guys is everything clear
530680	539560	so just want to know give me thumbs up if you are confident with HTML CSS and DOM operations
539560	546920	and beginning level of JS 2 because we are getting started with new part of JS I just
546920	554000	want to know how confident you are feeling so I see five thumbs up guys is there anyone who's
554000	559080	facing still challenge with the topics that we have learned or if there is anyone who feels like
559080	564400	he's feeling lack you know lacking behind if there is anyone give me thumbs down maybe if we can have
564400	571080	a conversation in the doubt session there is anyone give me thumbs down this because the things we
571080	582240	have covered are all basics are done now from the last class I say to people hey monkey and promote
582240	589760	guys waiting down session will have a conversation will discuss your point of view right so because
