start	end	text
0	18120	hi all good evening guys am i audible and visible give me thumbs up if you can hear
18120	28760	me out great so so how's preparation going on guys like how we preparing for contest
28760	29760	all going good
29760	48880	okay great let me share my screen
48880	66000	do let me know guys if you can see the screen share good so
66000	82440	fine let's pull ipad
82440	87760	okay kabe i will talk about that you will get to an understanding on that point okay
87760	115960	need not to worry i'll explain that point okay i'll speak on that today
115960	129080	ipad sharing is also working fine right so kabe can you add this as a question at last
129080	133400	a moment of the class at last whether this question is answered if you understand by
133400	143920	that time or let me know that if not we'll pick it up okay
143920	153080	so guys any updates anything there okay okay you fix a timer uh great so much let's look
153080	154080	at this
154080	166000	also you i had a code to
166000	173600	set timer nice let's i set up the timer guys uh we'll set up for five minutes uh and i'll
173600	183880	say start okay it works fine great so guys any updates anything going on your life or
184400	190200	how's preparation going any updates on assignments let me check what's the percentages of our
190200	201160	batch how many people are able to solve things i haven't checked in some time back
201160	205520	so one quick feedback i need are you able to follow up with my teachings are you enjoying
205520	212320	it uh like do i need to work on anything or from the topics point of view if you have
212320	217240	any challenge understanding it do let me know okay then and there itself so that we
217240	238080	clear them out and then we move ahead step by step okay guys uh
238080	260680	so our assignments this percentage is 38 how to add a slider uh where you want to add
260680	280680	a slider uh somewhere just wanted to know that a slide of a what like uh i didn't get
280680	285400	your complete question summit maybe if you are typing it that's good uh like an option
286280	291960	slide through different things as in there will be two things clicking on one thing will show a
291960	299240	page on the other okay it's kind of a toggle rendering content based on html like toggling
299240	306440	the content right on a button right or like a image carousel like moving one after the other
308440	314520	okay that thing uh it's a button based event like enabling a div and disabling a div
314520	322040	uh so that is something that you can do as of now but uh like if you want it more dynamic
322040	327320	you have to go for react but current for current knowledge it's like if you are rendering one part
327320	334600	of html then uh depending on a button click or event or a you know swipe event you have to
334600	340760	check which is event is like actually working as a swipe okay or generally in uh web browsers you
340760	347160	don't have a spike you can have that in the mobile events so you have to check like uh then
347160	352360	once that is there and how do you render the other part of the content so it just that you know
353000	356920	toggling between two different ifs one different one day will have the current content and the
356920	365480	next day so uh there is a okay if there is a default html or not uh there might not be a
365480	371800	default html built for that but we can you know uh in react based components you'll find it
373480	377080	there you will find it okay
382280	389800	okay revision i'll do that from okay toggling through different text uh good
395960	396200	so
400520	404920	again this is a new addition this is a great thing uh so you added a background image isn't it
409640	410760	on this application
415080	421880	whatever you do okay you are also okay this is nice this feature is nice you are uh changing the
421880	429560	sentences after each second or what timeline you are using it
432840	440520	so quotes.js is a different file uh you have an array of items uh then this you are using this
440520	449160	array
458920	463160	500 milliseconds is it
470840	477160	after six seconds every six seconds okay
481400	486040	great one you are trying to apply the knowledge we have learned up to greater extent so
486680	492120	really happy with your application somewhere this add on you know inspiration for the people in our
492120	498440	class or the batches will be i'll be talking about this one in the upcoming batches but great
498760	503960	so guys uh can we get started with today's class can anyone drop uh in whatsapp group
503960	509240	like we are able to get started uh one message would really help us you know i see a few people
509240	512280	joining after the message
512920	520120	so
523480	525800	okay great so let's do one thing
527560	531560	uh there's a message dropped i'll check from my side
534760	536120	yeah great thank you brahmod
536920	550600	okay thank you shik uh now so firstly just want to know like if you have any doubts from previous
550600	557240	class where we started with this operator we understood context of this and what this talks
557240	563240	about like we have figured out that you know this is always referring to some object
566120	575480	object and on top level we had only four types of objects one is empty object then one is window
576680	583240	one is global and the object itself which you are calling on right and there is something is
583240	591320	undefined key these are the possible values we have seen and when it comes to this node.js
591320	595720	this is specific and when it comes to windows this is specific to browser
