start	end	text
0	2060	you
30000	59960	hi all good evening guys give me a thumbs up if I'm audible and wish
59960	68400	people great let me share my screen do let me know if you can see the screen
68400	79800	share also will get started at 9 or 10 let's say I have eight minutes time okay
79800	86880	so guys who were there in class how's your contest had gone is everyone
86880	96560	attempted it I see one thumbs up it was good and able to clear cook a great
96560	105600	mission it's not good for me I've enough anything specific like any challenges
105600	111840	you faced or did you attempt and practice mode again have doubt on two
111840	121160	questions Kabir okay great we'll discuss them but I've you know what's your
121160	131080	challenge did you attempt and practice mode again so guys whoever have
131080	136020	attempted that's great you know we can pick it up in doubt session
136620	142700	MCQs only and all topics are covered in class yeah hopefully but if few people
142700	150420	okay while selecting MCQs that's fine but you can go back into practice mode
150420	154380	and you can reconfirm Abhinav whether the answers were right or what's the
154380	160300	point of you know giving equation that way so I would highly suggest you to go
160300	164460	back into the practice mode and just see them again whichever you were not able
164500	169020	to attempt it and see if you are able to clear because it will take hardly 20 to
169020	179180	30 minutes or I guess not more than that right so I saw other people a few
179180	185220	questions had more than one answer does anyone feel same okay how many of you
186220	197460	order Kiran says I see one thumbs up okay I actually didn't see the questions
197460	206020	maybe if I have seen I could have comment more on that but but overall
206020	210060	experience was good enough right did you feel those questions were like or the
210060	213460	topics that we have already covered
220060	227940	yeah so Muneshwara says that a session on MCQ test that I have to see I will
227940	233980	check with the team and get back on that Abhinav like because I need timeline and
233980	238380	you know to I'll check on that and I'll let you know if I can pick it up a
238380	254580	session okay yeah okay so and how's your weekend had gone guys so how's
254580	264300	everything going at your workplaces and how's everyone doing so one messing up
264300	267380	topic in my head I shouldn't actually talk about it
267380	273100	marriages say some bit hectic I know so how many of you are following a
273100	277380	project where elections is happening I don't talk more on that but just want to
277380	285540	know how many of you are curious hectic schedule for me to going to office okay
286100	294660	I get that curious on what like how many of you are following up on projects of
294660	302380	election like what's going on in there in today and tomorrow do you feel it
302380	312940	same like what the prediction like BJP is sweeping again everywhere there's too
312980	320860	much things going on anyways that's out of topic thing so anyone going through
320860	325340	interviews guys any experiences you want to share if anyone is trying to
325340	332860	interview at different workplaces because I've seen right no no we have an
332860	346380	option some bit we always have an option because I mean I don't as it in
346380	352500	light I don't want to share my opinions on public platform but we do have an
352500	358580	option always regional specific like when you come to my state we had to we
359500	366780	picked it up so that that's okay anyways like it's it's one perception once
366780	375500	understanding right no worries guys don't want to go into that depth but
375500	381860	there's any any reviews any feedbacks related to anyone appearing any you know
381860	387340	interviews or taking up waiting to complete react up left okay great some
387500	392740	cover that most probably next month we are going to start and nine eighty
392740	397500	percent of thing I'll be completing in next month itself so but one thing guys
397500	401980	please take care of it so that whenever we are completing any topic I've given
401980	407020	you a few links right to where to study from things related to JS try to read
407020	410380	the content from that try to cover all the topics that we were discussing so
410380	424060	that you know we are on page okay okay great so guys can anyone drop in what's
424060	430100	people today I'll drop myself let's see
454060	456060	and
472940	480060	it's summer everywhere right to like you know completely dry in our in my state
480060	485780	this my place the wind is blowing you feel hands getting dried skin is getting
485780	491980	dried here yeah I will be taking up react cover so we'll be getting started
491980	498860	with react next year's projects I'll be covering all of them so hopefully I'll
498860	505540	be delivering the content that up to a standard that you're expecting it okay
506540	517780	okay this I didn't know for the last one minute you get a like red border box
517780	526260	shadow border so guys anyone anyone working on building projects anyone
526260	533260	tried it out new thing or anyone curiosity of like seeing any application
533260	537900	or anything how they might have built something in anything that you see
537900	541900	around any website anything we can discuss over that thing if you feel
541900	547460	something curious about any particular thing let's discuss that thing also okay
547460	554460	so I'll stop this I'm trying hopefully we can see some okay great magnetic
554460	561860	mouse pointer interesting I don't really know that thing open drop maybe
561860	566660	once you share some URL when you deploy maybe we'll explore that but looking
566660	569140	forward to it
569140	589380	okay just a minute place you can drop me a ping some bit then we can maybe
589380	594340	connect because I have to manage my time right so once please check with me
594340	598660	before directly picking me up you can bring me anytime it's just that I had I
598660	607860	will check off from my side and we'll let you because if you have heard it we
607860	611900	just have gone through live offset PayPal and that too many things going at
611900	619700	work at my workplace too so still you know the we are hiring leadership
619700	624420	continuously our new CU is hiring leadership so the things changing very
624420	630100	frequently inside so we are also a bit confused whom to report whom to change
630100	636300	my report my manager got changed twice so we are still in bit of mess I'm not
636300	639780	sure how things are but just bring me up I'll try to find time and connect with
639780	652900	you okay so guys can we get started with today's class we are on time great so
652940	658300	just just trying to you know revise the content what we have covered till now if
658300	663700	you if you remember when we started with oops firstly we have covered
663700	673220	constructor function and we covered this keyword in all the context different
673220	684900	context and once we cover this then we went on to understand you know class
684900	692060	space syntaxes for the constructor function and also classical inheritance
692060	696980	we can say this where you extend a particular class and we we have seen
696980	711540	that and we have also converted a class into a function and you know the
711540	721940	functions into prototypes and I have left with one question to you all like
721940	733060	how do you handle static keyword inside a class convert into the functions in
733060	736380	function use case like constructor function use because did anyone able to
736380	744380	explore this one they didn't even get any chance to explore this one like
744380	748980	declaring whatever static methods are there inside a class let's say you have
749020	759900	a class a or you have a static test we had the syntax we know that if we want
759900	766500	to convert this into this we can talk about function a and then how do we
766500	776780	handle this like do you go a dot prototype dot test equal to something
776980	785820	how do you declare it have anyone got chance to explore this part related to
785820	791820	static try to check on this guys if you haven't done it okay no no worries not a
791820	796860	big deal because it's I don't want to say it that way but not that important
796860	801380	okay but try to explore that like how this has been built actually because
801380	804620	those are the features been provided from the constructor function level just
804620	809900	try to explore that now the last topics from the object render programming are
809900	818020	left us like few higher-order functions that we should be knowing it so if you
818020	821620	remember the higher-order functions that were declared you know studied on array
821620	828860	where like filter map you know and reduce similarly we have here the other
829020	835220	higher-order functions like call apply wine and so what is the definition of
835220	841940	higher-order function base how many of you remember what is this HF HF what we
841940	845140	call it as higher-order function
845660	860860	anyone remembers this one okay it's a function which takes in a function or
860860	868620	returns a function from it right yeah right so we have actually generally we
868620	872380	have to declare read three methods this particular functions we have to
872380	876980	understand then other than this single we'll again talk about something called
876980	887940	as pass by value versus pass by reference this thing I think I have
887940	892740	already covered it but I'll give you a glimpse of it again then I'll talk
892740	901380	about like you know shallow copy like versus deep copy how can you make a
901380	906460	shallow copy versus a deep copy so we'll talk on these two things other than
906460	910020	this thing there's a one extra thing that I want to talk about is like this
910020	913220	might I might cover in doubt session but if you're interested you can stay back
913220	919980	and listen it like I'll actually implement this this function library
919980	925940	function call in normal like if someone asked you to implement call how would
925940	931580	you do that so we generally say write a polyfill for call so I'll cover that
931580	935780	part if we want to cover in the class itself we cover or we'll take it up in
935780	940300	a drought session okay guys so is the agenda part here what if what we are
940300	948660	going to cover this is the part today what we are going to cover it okay let's
948660	955780	get started with that then okay let's go back to directly visual studio code
956780	960900	okay I don't have yes code
967980	977140	let me create a new class class 23
977140	990980	and let's do one thing let's create something file callers index.js now so
990980	995260	let's start this focus on this thing let's say I build one object called
995260	1002580	student okay a simple object again taking taking that same generic object
1002580	1009300	like where it has a first name and last name let's say I pick it up a first name
