start	end	text
0	2000	Thank you.
30000	57000	Hi all, good evening.
57000	66000	Guys, give me thumbs up if you can see me and I'm visible and I'm audible.
66000	84000	And if you have any disturbances do let me know. A fan is running today.
84000	88000	I see very less amount of people joining today.
88000	96000	Any specific reason guys, do you know anything?
96000	105000	Let me share my screen too.
105000	113000	Is my screen share visible?
113000	123000	I'll remove the older mark.
123000	133000	We start at 9 or 10, 8 minutes.
133000	138000	So guys, any questions, anything, do you have anything you want to raise?
138000	145000	How's your preparation going on?
145000	156000	Okay, how many of you have given like mock interview on SQL?
156000	159000	I see one thumbs up. I have good amount of people.
159000	167000	Guys, can you please raise your hand if you have taken mock already?
167000	172000	No, two people.
172000	179000	Do we use prototype inheritance in, oops, in real life?
179000	192000	Okay, so prototype inheritance is used Kabir, but class based syntaxes are rarely you'll come across like because we are not going to leverage that.
192000	200000	And most of the frameworks when it comes to JS, they don't use class based syntaxes. You can use prototype based syntax.
200000	206000	Prototype inheritance is pretty easy, right? Like how we are able to access the libraries out of array.
206000	213000	How can you add a new library utility function like we did it recently like call function, right?
213000	219000	So that would be straightforward.
219000	235000	Okay, so I see only eight to nine people in class today. I have to wait. I have to, you know,
235000	246000	Where is this?
246000	261000	To take a quiz. So let me actually, you know, prepare this poll.
261000	280000	Yeah, teacher, it is independent.
280000	309000	I'm typing it down, guys. Just a second. I have to raise up also.
309000	329000	Okay.
329000	346000	Okay, so I see 15 amount of people. Guys, can anyone drop a message in chat?
346000	360000	It would be really helpful. Thanks, Kiran.
360000	365000	Any doubts from previous sessions? Any doubts from previous sessions?
365000	371000	Are you able to follow up with me all the things that we have learned till now?
371000	381000	And is anyone revising them or how challenging is it?
381000	388000	Just keep me, let me know in case you have any doubts related to any concepts that we have discussed till now.
388000	398000	I'll be free to take it up. Okay. And we can discuss it anytime.
398000	425000	I'm sharing my report.
425000	440000	Nobody's too many less people today. I'm not sure like why this is happening. This is happening for the first time.
440000	446000	Does anyone know anything like why today people are not able to join class?
446000	459000	Any specific reason or? Okay, no worries.
459000	469000	Okay, so I'll launch a poll. I want everyone to take that poll and let me know.
469000	476000	No worries, Kiran. No worries.
476000	483000	So this is actually needed from management side so that they wanted to know a few things.
483000	491000	So I'm launching it. I'll keep it for 60 seconds.
491000	499000	Please take this one and let us know your feedback on this.
499000	510000	I've launched it guys. Please take this poll.
510000	515000	Hi.
515000	529000	Okay. I've got two responses guys.
529000	535000	I hope everyone is here in the class. I hope everyone take those, you know,
535000	551000	So that we can, you know, contact you, help you out with anything that you have issues, right?
551000	562000	Guys, few more people who haven't taken.
562000	574000	Okay, let me take a screenshot of this one.
574000	584000	So guys, why we push to, you know, push you guys to take mock interviews that before expiry is that, you know, you have, you, you guys know that, right?
584000	589000	You have a limited amount of mock interviews. You can give it at free of cost.
589000	595000	Then other things you have to buy it out of your coins or the money you have to pay back for the mock interviews.
595000	601000	That point is clear, right? Everyone knows this, that you have a limited set of free mock interviews.
601000	606000	So since the expiry date is nearby, we want you to give it an attempt.
606000	610000	It's not that if you are not able to clear, you will be getting anything back.
610000	616000	It's just that just try it out. Don't waste your like, you know, chance.
616000	622000	Even if you're not prepared, just go there and, you know, for the experience point of view, just take it up.
622000	628000	It's your money. You have paid it. You have every right to even leverage that chance or waste your chance.
628000	633000	But, you know, just go there, book it up a session and see how things are.
633000	641000	Yeah, five extra five. So Pramod has given me, you know, complete data.
641000	647000	So you have 12 mocks out of that seven are mandatory based on course.
647000	653000	In case you flock anything, you have five extra in order to reattempt it.
653000	659000	So you have this amount of, you know, mocks so you can leverage this extra five in case you're not able to clear.
659000	665000	But yeah, that's a great story.
665000	670000	I would love to, you know, discuss with you.
670000	675000	Okay, great.
675000	681000	So Pramod was in BDA earlier at Scalar. Pramod, you don't mind, right?
681000	685000	If I write it down. Yeah.
685000	691000	Okay. So he was a BDA first business development associate.
691000	695000	So he was in that role.
695000	703000	So he was in that role. Now he's, you know, seeing, I think, seeing these people, you know, getting pleased or he might have got inspired.
703000	708000	I don't know personally him, but I just got to know that he was a BDA earlier in Scalar.
708000	713000	Now he's prepping for his D roles.
713000	719000	So, yeah, it was.
719000	732000	I hope I can, you know, help you out Pramod, in case you need it, because like, as there was people like Ankit, you were transforming themselves from different tools into the tech.
732000	738000	I mean, different streams, we would love to contribute like what in whatever means, right?
738000	743000	So leverage any people in the whole batch or be anything that you want.
743000	747000	Okay.
747000	750000	Okay, guys. So the time is up.
750000	759000	So let's get started with today's class, guys.
759000	770000	Hey guys, I'm an electronics engineer, so leave it in steering aside, they are coming from different domain of like from the tech domain.
770000	774000	So I from come from electronics. I was my college topper.
774000	778000	I never got to use that knowledge, right?
778000	786000	Even once in my working experience, so started started completely from scratch.
786000	797000	Again, when I know started my corporate industry, trying to push myself every day to learn things.
797000	799000	Okay.
799000	802000	So.
802000	806000	Great, guys. Now.
806000	813000	So firstly, it's like any any doubts from previous session, any doubts from previous sessions.
813000	816000	Because of.
816000	818000	Thank you.
818000	825000	So if you don't have any doubts, we'll get started with today's class, because, you know, the three classes.
825000	832000	The next three classes, whatever we have are based on async.js.
832000	833000	Okay.
833000	847000	Now, first, in order to understand this three classes, whatever it is today, we'll get started with three of the points like firstly, again, since we have touched upon this part, like what is synchronous versus async code.
847000	856000	We will again introduce them specifically will understand, you know, going into the depth and understanding exactly how the synchronous is async work.
856000	860000	Then we'll understand like.
860000	865000	How can we use.
865000	876000	Callbacks for async activities.
876000	887000	And then we'll understand one of the important topics from interview specific or understanding JavaScript, how it runs behind the scene, which is event loop.
887000	902000	So all the magic that you see of async activity is happening because of this person or this architecture, which is behind the JavaScript, like event loop, how this is working and what all this will come to that point step by step.
902000	904000	But let's get started.
904000	908000	Let's get started with examples and let's explore them step by step.
908000	912000	Okay, so.
912000	914000	I'll share my code.
914000	924000	Oh, like we just record this visible right.
924000	925000	Right.
925000	928000	Now, let's say.
928000	934000	We declare a file called.
934000	939000	Okay.
939000	945000	Sync versus async.
945000	961000	Now, before me writing down anything, does anyone have any idea like what is synchronous or what is asynchronous just by word right whenever we say that synchronous, what do you get actually what do you think this particular thing is.
961000	975000	In any terms like what's your understanding when we say something like synchronous.
975000	983000	Any any any definition as you know normally or by word definition library like dictionary definition anything not in terms of coding.
983000	991000	One thing at a time says Kiran.
991000	993000	In order.
993000	998000	Okay, this is what synchronous is like.
998000	1001000	Now, JavaScript.
1001000	1006000	JS is we call it JS as a synchronous.
1006000	1014000	Single threaded.
1014000	1028000	So what we know is that like JavaScript JavaScript executes each file from top to bottom.
1028000	1030000	Okay, these three things.
1030000	1033000	Remember this thing that.
1033000	1036000	So Ramya says that single threaded or multithreaded.
1036000	1038000	I'll come to that point is what I hope.
1038000	1041000	Again, you know this definition of what is single threaded.
1041000	1042000	Right.
1042000	1044000	I have explained this in earlier in earlier class.
1044000	1052000	So I hope these three points are clear to everyone that synchronous is like we are doing one thing at a time in a line fashion in one particular order.
1052000	1057000	And the order here when JS is executed is always from top to bottom for the each file.
1057000	1059000	Okay, this basic idea is clear.
1059000	1064000	What is synchronous.
1064000	1069000	Guys, now let's say I write down a few things.
1069000	1076000	Let me let me know the order or you know what is the solution like output for this one.
1076000	1097000	Pretty basic pretty straightforwardness, but I just want you to guess it.
1097000	1099000	Let's say I have this.
1099000	1104000	Whenever I'm trying to console log, I'm expecting to this to to be printed.
1104000	1107000	That's straightforwardness straightforward.
1107000	1110000	So we have seen this many times happening every day in every class.
1110000	1121000	But what if I add a loop here saying that let's say I equal to zero I less than.
1121000	1128000	Chain rack I plus one and I'm doing nothing here inside the loop.
1128000	1136000	Okay.
1136000	1139000	Okay.
1139000	1146000	Why this is giving me an error.
1146000	1149000	So what just what did I do?
1149000	1153000	I see is that I've just been fired console log one console log two.
1153000	1159000	And then I have added like this timer, which is like, I mean, I've added a funnel.
1159000	1171000	Now I just wanted to guess like whether the like console logs both will be printed instantly immediately because or it would wait for this for loop to get executed.
1171000	1176000	What's your take on this?
1176000	1180000	It will wait. So how many of you guys think that it will wait?
1180000	1186000	Give me a thumbs up if it waits or it should print instantly without, you know, for loop to get executed.
1186000	1191000	Give me a thumbs down.
1192000	1194000	So give me a thumbs down.
1194000	1201000	Give me a thumbs down. If you think it's not, it will not wait so that we get to know.
1201000	1205000	I see two people says, wait, no one will not wait.
1205000	1209000	And others say, no, let's let's see the definition again.
1209000	1217000	We say that JavaScript is single threaded language and it executes one thing at a time in order.
1217000	1219000	Now the order is from top to bottom.
1219000	1221000	We have executed this part of line.
1221000	1231000	Since we have earlier, we have done execution context and how things are running inside when memory memory creation phase and execution part.
1231000	1235000	Right. We have seen that each line get executed from top to down.
1235000	1237000	First, these two lines executed.
1237000	1240000	Then we know that console log will execute executed.
1240000	1244000	Then I'm running a loop till this amount of time.
1244000	1246000	Like what? How many?
1246000	1249000	Look, it's a big number. Any abstract number, let's say.
1249000	1252000	So this loop should get over in order to move to the next line.
1252000	1256000	Right. That is that is what we can call it asynchronous.
1256000	1259000	Isn't it like only one thing at a time?
1259000	1262000	Like I'll be running this one thing at a time.
1262000	1265000	After that, once this is executed, then I'll go for the next line.
1265000	1273000	OK, let me show you this thing in, you know, while executing it, whether it's working as expected.
1273000	1285000	Now, node sync versus async.js.
1285000	1297000	OK.
1297000	1302000	OK, let me add a few more zeros.
1302000	1305000	To see the differentiator.
1305000	1311000	Now, guys, do you see this that first hello one got printed and hello to is not being printed yet.
1311000	1314000	I mean, it is waiting for some amount of time.
1314000	1319000	Then once this loop is ended, then the hello to got printed.
1319000	1322000	Have you did you guys just notice this one?
