start	end	text
0	29160	Hi all, guys, am I visible and audible?
29160	35160	Good evening, everyone. Can anyone hear me out?
35160	44160	Hi, Ramya. Thank you.
44160	53160	How's everyone doing, guys?
53160	61160	Great, great. Hi, Abhishek.
61160	68160	So, guys, have you received any invite for tomorrow's class management 12 p.m.?
68160	72160	Just wanted to check.
72160	76160	Right? Hope you make sure to be there, right?
76160	84160	Like, firstly, it will help you out to understand it. How do you manage time?
84160	92160	Is my video disabled?
92160	100160	Maybe, you know, can you recheck, refresh your screen?
100160	103160	OK.
103160	111160	So he'll actually help you to figure out his ideas, like, how do you can you manage time and building career path?
111160	114160	And one of the good news is that, you know, companies started hiring.
114160	120160	Microsoft is hiring, Amazon is hiring, Google is hiring again.
120160	122160	So most of the companies started hiring back.
122160	128160	It seems that economy is doing well after a year and year and a half layoffs.
128160	129160	It's a great thing, right?
129160	137160	For your batch, when I was taking my previous batch, there were layoffs going on and there was not much opportunities where available.
137160	141160	When you see from this man, thank companies, right?
141160	145160	And even there was a, you know, investment crunch from the start of point of view.
145160	152160	But for your batch, by the time we end our curriculum, you would be in the right position, right?
152160	165160	Where hiring will be happening and hope you keep preparing things, keep yourself good so that whichever opportunity wherever your resume gets shortlisted, you guys, you know, take the chance on it.
176160	178160	Actually, I have to.
178160	184160	So I have, have you, you know, build your resumes already?
184160	188160	Have you guys built your resumes?
188160	191160	It's challenging to focus on more than one module.
191160	193160	I completely agree with you.
193160	195160	I completely agree with you.
195160	196160	I agree with you.
196160	211160	So, you know, in tomorrow's seminar, what an instrument is taking, you can, you know, post these questions and he'll try to shortly answer from his perspective because he has seen more than, you know, you can at least 50, 60 batches.
211160	212160	Right.
212160	213160	You have seen people cracking it.
213160	215160	My experience lies in two batches.
215160	227160	But from my perspective, if I, if I say that how I'm multitasking, it's about like building a right calendar time, like sticking to the calendar that you build and focusing on that.
227160	244160	But do sure, do make sure that this like attend class tomorrow so that you will be, you know, getting further more clarity is how can you build your like even from the revision point of view, right?
244160	248160	You can question him like how's how's I'll be able to revise my things.
248160	250160	What's the right strategy?
250160	252160	What do you see that how people have done?
252160	258160	You can ask him about market as a job market and you can ask him about any queries you have.
258160	270160	But first thing is try to make sure that you attend a class and try to be interactive in that class so that, you know, you get more sort of it because he is giving you time.
270160	280160	Try to take, take as much as possible from his experience, whether building this company or like managing so many batches and too many things.
280160	281160	Right.
281160	283160	He has too many experiences, real time experience.
283160	286160	So leverage those things.
286160	290160	Actually, I'm checking for one more thing I have to talk on.
290160	293160	I'll wait for some time, but meanwhile, I'll search it.
313160	316160	So have you guys prepared your resumes?
316160	318160	Are your resumes ready?
321160	323160	It not yet.
323160	325160	So I see good people.
325160	329160	A good amount of people have already done it and a few people who haven't done it.
329160	332160	But let me know if you if screen share is working.
332160	334160	I'll talk more on that.
341160	343160	Is my screen share visible?
346160	347160	Right.
347160	348160	Let's put up some timer.
348160	352160	Then we'll start like once we have good amount of people.
352160	355160	Let's say this is the new version.
355160	356160	Isn't it?
356160	359160	I'll delete the old version some bit.
363160	366160	Let's say we have four minutes timer, then we'll start on it.
367160	368160	So.
369160	370160	Okay, right.
370160	371160	Great.
372160	380160	But guys just wanted to know whether have you again try to go to the SQL mock interviews?
380160	383160	Like how's your preparation going on that side too?
383160	384160	Right.
385160	386160	I'm from.
387160	388160	No worries.
388160	394160	I'll I'll I'll try to help you out in case if someone want a personal helping, right?
394160	397160	We can pick it up one resume end out session.
397160	399160	I can share my insights.
399160	406160	What I feel like you can guys you can also talk about others can also, you know, add on points.
406160	410160	It's like collective people working on a building a right format of resume.
410160	411160	Right.
411160	416160	So we'll try to do that from like just try to build one thing.
416160	417160	We can work on it.
417160	418160	We can build in iteratively.
418160	419160	Right.
419160	422160	So first first instance may not be right.
422160	428160	Always is like, you know, documentation is one of the difficult task to go for any software engineering.
428160	430160	Whatever features you might be working.
430160	431160	It would be really great.
431160	437160	Like I have done so many great releases in my projects that I've worked on.
437160	445160	But writing a release email right where you tag directors, senior directors that this feature is launched or this is something we have achieved.
445160	447160	That part becomes crazily difficult.
447160	448160	Right.
448160	452160	You try to review with the product team managers before sent topic and email.
452160	455160	So it goes through iteration right where you filter it out.
455160	464160	So same way bill your bill your resumes in case you wanted to want as a together like all people sitting together to review it.
464160	466160	We can do that and we can add our points.
466160	467160	Right.
467160	475160	It's a collective people learning so that it's a kind of a mentorship for each other plus and where we are helping us find each other.
475160	480160	So let's try to build that way.
480160	484160	I see 21 people in the class.
484160	488160	Let's drop a message inside guys.
488160	491160	What's up?
491160	493160	I'll drop myself.
521160	526160	Okay.
526160	530160	Is it okay to bluff a bit if you are confident on skill in resume?
530160	534160	So I wouldn't do that.
