start	end	text
0	2060	you
30000	32060	you
32060	34060	you
34060	36060	you
36060	38060	you
38060	58060	you
58060	60060	hi all good evening
60060	62060	uh
62060	64060	guys am i audible
64060	66060	and visible
66060	68060	thank you somebody
68060	70060	so
70060	72060	let me share my screen
80060	82060	guys again
82060	84060	do let me know if you can see my screen share
84060	86060	screen share
86060	88060	cool
94060	96060	so guys
96060	98060	have you attended
98060	100060	class by
100060	102060	Anshuman
102060	104060	on the weekend
104060	106060	did it help
106060	108060	you guys
110060	112060	right
114060	116060	great
116060	118060	great
124060	126060	uh
126060	128060	team
128060	130060	I also
144060	146060	I
146060	148060	I
148060	150060	I
150060	152060	I
152060	154060	I
154060	156060	I
156060	158060	I
158060	160060	I
160060	162060	I
162060	164060	I
164060	166060	I
166060	168060	I
168060	170060	I
170060	172060	I
172060	174060	I
174060	176060	I
176060	178060	I
178060	180060	I
180060	182060	I
182060	184060	I
184060	186060	I
186060	188060	I
188060	190060	I
190060	192060	I
192060	194060	I
196060	198060	I
198060	200060	I
200060	202060	I
202060	204060	I
204060	206060	I
206060	208060	I
208060	210060	I
210060	212060	I
212060	214060	I
214060	216060	I
216060	218060	I
218060	220060	I
220060	222060	I
222060	224060	I
224060	226060	I
226060	228060	I
228060	230060	I
230060	232060	I
232060	234060	I
234060	236060	I
236060	238060	I
238060	240060	I
240060	242060	I
242060	244060	I
244060	246060	I
246060	248060	I
248060	250060	I
250060	252060	I
252060	254060	I
254060	256060	I
256060	258060	I
258060	260060	I
260060	262060	I
262060	264060	I
264060	266060	I
266060	268060	I
268060	270060	I
270060	272060	I
272060	274060	I
274060	276060	I
276060	278060	I
280060	282060	I
282060	284060	I
284060	286060	I
286060	288060	I
288060	290060	I
290060	292060	I
292060	294060	I
294060	296060	I
296060	298060	I
298060	300060	I
300060	302060	I
302060	304060	I
304060	306060	I
306060	308060	I
308060	310060	I
310060	312060	I
312060	314060	I
314060	316060	I
316060	318060	I
318060	320060	I
320060	322060	I
322060	324060	I
324060	326060	I
326060	328060	I
330060	332060	I
332060	334060	I
334060	336060	I
336060	338060	I
338060	340060	I
340060	342060	I
342060	344060	I
344060	346060	I
346060	348060	I
348060	350060	I
350060	352060	I
352060	354060	I
354060	356060	I
358060	360060	I
360060	362060	I
362060	364060	I
364060	366060	I
366060	368060	I
368060	370060	I
370060	372060	I
372060	374060	I
374060	376060	I
376060	378060	I
378060	380060	I
382060	384060	I
384060	386060	I
386060	388060	I
388060	390060	I
390060	392060	I
392060	394060	I
394060	396060	I
396060	398060	I
398060	400060	I
400060	402060	I
402060	404060	I
404060	406060	I
406060	408060	I
408060	410060	I
410060	412060	I
412060	414060	I
414060	416060	I
416060	418060	I
418060	420060	I
420060	422060	I
422060	424060	I
424060	426060	I
426060	428060	I
428060	430060	I
430060	432060	I
432060	434060	I
434060	436060	I
436060	438060	I
440060	442060	I
442060	444060	I
444060	446060	I
446060	448060	I
448060	450060	I
450060	452060	I
452060	454060	I
454060	456060	I
456060	458060	I
458060	460060	I
460060	462060	I
462060	464060	I
464060	466060	I
466060	468060	I
468060	470060	I
472060	474060	I
474060	476060	I
476060	478060	I
478060	480060	I
480060	482060	I
482060	484060	I
484060	486060	I
486060	488060	I
488060	490060	I
490060	492060	I
492060	494060	I
496060	498060	I
498060	500060	I
500060	502060	I
502060	504060	I
504060	506060	I
506060	508060	I
508060	510060	I
510060	512060	I
512060	514060	I
514060	516060	I
516060	518060	I
518060	520060	I
520060	522060	I
522060	524060	I
524060	526060	I
