start	end	text
0	29640	hi all good evening hello all guys am I audible and visible hi Kabir thank you
29640	38480	nice let me share my screen
38480	44680	please let me know if you can see my screen share also
44680	61360	so we are going to end our classes on JavaScript next week isn't it next week
61360	69640	let me see how many classes are left yeah I think four classes are left on
69640	77520	JS part so one thing call out is that you know post JS there will be a
77520	85360	contest and also mock interviews case so I hope you guys are preparing for the
85360	90640	contest firstly contest like revise all the topics revise all the things that we
90640	96520	have discussed over the time okay if there is any challenge during any
97040	102680	of time whatever we have discussed I've been always available whoever ping me I
102680	108920	try to respond them personally anyway with any way of communication and even
108920	112600	in case you feel anything there's something left behind to discuss or
112600	117780	teach or you know topic that is being discussed please bring it up so that we
117780	130220	can you know discuss on that topics other than anything in curriculum okay
130220	137940	Kabir so are you talking about asynchronous JavaScript things we have
137940	146900	discussed on promises and okay so this thing related to promises async await
146900	153900	keep keep the oops part aside but other than those two classes call blind bind
153900	160020	apply and we have seen examples related to call bind apply and then we have
160020	163140	discussed asynchronous JS like those are concepts right in order to introduce
163340	168980	concepts we have discussed with those examples I've also shown you one of the
168980	175700	API read JSON builder where you can actually you know communicate with a
175700	181620	real-time API and how you do it so those concepts are actually not theoretical
181620	186660	but those concepts are really important like from interview perspective to know
186660	190860	or answer like if someone asks you what is asynchronous JS how does it execute
190860	197860	how does things handle what is your promise or promised at all settled race
197860	201820	conditions you should be knowing all of this stuff because in a way around when
201820	205460	you actually do good do and you know build a project you are going to come
205460	211260	across this topics very frequently very very frequently if you remember one of
211260	215860	the project we build a very small project called weather app in that you
215860	220140	are actually making an API call to weather API which was giving you a data
220140	224740	depending upon users input right so you should be knowing it how we are
224740	229100	actually handled handled it like if you go back into the code now we will be
229100	233220	able to relate more why async await was added and what is actually happening
233220	243380	behind the scenes right so it's more of with practice it will come we'll see
243380	249620	usage of them more and more but you know since those were topics introduction
250100	257340	that's how it can be thought that's one that's my idea but for more practical
257340	261820	use cases right when you actually consume more amount of APIs when you
261820	265460	actually build projects then you will be seeing that part of asynchronous
265820	281540	okay so if there are any other concerns or any other doubts right related to
281540	286420	anything topics that we have discussed on the day one of our classes for this
286420	291420	full stack if you have anything please raise it raise them like we'll have a
291420	308420	discussion on that part okay let me start stop watch so majority of things
308420	313100	could be like if you see like all the things that you see in the network tab
313100	316340	right whatever calls are being made in the network all these things are ready
316340	320460	to promise itself like how do you consume even the style sheets there
