start	end	text
0	28040	hi all good evening guys am i audible and visible
28040	36080	guys can you hear me out
36080	46440	good evening all let me share my screen too
46440	54240	hello rajni so screen share is also working fine guys
54240	72840	so I hope everyone is you know doing their assignment problems and you know
72840	77760	keeping up with right amount of PSP's and prepping for the mock too many
77760	82920	things are going to come up next week because next weekend I guess you have a
82920	90920	mock like contest for the whole HTMLC as a JS part so irrespective of any
90920	95120	frameworks guys these are going to play really important you know the whatever
95120	99800	topics we have covered whatever concepts we have covered from day in till today
99800	105720	are most important I would request right everyone to keep revising the go
105720	115600	through the github and it's that's more important related to certification
115600	123960	contest is it about mock interview Ashish are you talking about that once
123960	129080	you do a mock interview you'll be able to get a certification isn't it
129800	150160	certification contest let me check on this hi okay I'll talk about that on
150160	160640	used I have to gather complete knowledge on that yeah because I okay
160640	168600	Muneshwara says that is for DSA technical certification test okay that
168600	178880	might be DSA test is it only for practice so I hope Ashish your question
178880	188720	was actually answered by Muneshwara github link sure just a second
188720	212200	I have attached here in the chat history great so how's your weekend going
212200	223480	us guys how's the weekend going are you prepping continuously or there's
223480	232360	something happening spy stuff news are you applying it any forms I know many of
232360	239040	the many of you have told me that after react will start applying I but as you
239040	247520	know there is a lot of calls from HRS of different organizations I think she
248120	258640	nice so you are in Hyderabad itself right Muneshwara
259240	284600	I'll type anglo okay so we'll wait for some time till people join classes class
284600	294840	so then we'll get started let me bring in chart
314600	339160	maybe we can plan make for this batch if possible or got clemency I sure sure
339360	347160	I'll sometime visit Bangalore maybe this month and itself my sister stays there
347160	353400	so they moved out to Bangalore so I'll probably coming there electronic city
353400	364280	maybe they stay there guys did anyone understand the picture that I have a
364320	379920	send in whatsapp chat like whatsapp group chat yeah we can meet but did anyone saw
379920	389280	that picture CSR SSR CSR plus SSR did you guys just understood that point like
389280	406320	anyone just did they understand anything on that part no no but that's
406320	416280	one of the architectural discussions architectural decisions like but I'll
416360	419960	talk about that in future class but just wanted to know if anyone have the
419960	424400	context on that already because it's a really big topic to discuss once
424400	429280	complete once we complete react then we'll talk on that part how things are
429360	456160	working how completely things are rendered let me see one document this
456160	460080	was the article that you have to
468040	475920	good guys I'll urge everyone to go through this article after the class or
475920	481080	anytime you find time but you know you should be knowing each and everything
481080	486440	like how three things combined firstly how things are built like how Dom is
486440	492680	built behind the scenes how CSS is actually mapped to each of the HTML
492680	498960	node in that Dom key then how JS is actually downloaded and you know mixed
498960	504760	and rendered with them how things works coordinate okay so I hope everyone goes
504760	510560	through this article in a break or post class but in case you have any doubts
510560	515720	bring it up with me in the next class I will discuss that in further okay spend
515720	522920	some time understanding how complete rendering works because most of the the
522920	531760	concepts that that I've shared picture right CSR SSR plus CSR plus SSR all
531760	539120	these things will make sense only once you know how rendering works now when I
539120	549440	talk about rendering how HTML CSS and JS are actually loaded and works in
549440	553640	browser because we know that there is something called Dom tree but you also
553640	559240	have something like Sysarm Sysarm is for CSS tree then Dom tree then you have
559240	564600	mix both the things then you build something called as a render tree now
564600	569520	this render tree is actually rendered in the browser so before actually you know
569520	575480	working with anything once your HTML and CSS are downloaded in the network they
575480	580040	build these two data structures of Dom and Syscom then they merge to build
580040	585440	something called render tree then it works finally you also have JS and we
585440	591120	have seen that how JS get downloaded you have async keyword then you have differ
591120	595680	keyword then you don't do it anything then you know how it works so
