start	end	text
0	20580	Okay.
20580	46900	Hi Kabir, so how's everyone doing guys, how's your energy, we are about to complete our
46900	53540	HTMLC, CSSJS, we'll get started with React next week, how are you guys feeling about
53540	67900	that? Excited or the current content you have consumed is heavy? Panic? Why Kabir, you've
67900	76620	been following up classes right? Let's keep that worry aside guys, panic, worry, these
76620	83500	are big words, okay, yeah, so I'm planning something for that Muneshwar, so we'll talk
83500	89620	about it like once we have good amount of people, I wanted to take some initiative,
89620	96940	let's see how many people joins that or how that will go, because I want you guys to be,
96940	101680	if you are learning, since when we say it's a full stack developer, it's more of a front-end
102040	110760	full stack developer isn't it, so the more knowledge is consumed on the browser side,
110760	116520	so considering that, I want everyone to be good with that web development part at least,
116520	125960	so let's see, I'll talk about that in some time, but keep that worry aside guys, someone
125960	130840	thinking like where to start, I'll talk about that Kabir, so can I attend, yeah somebody,
130840	139280	you can attend, you can attend, yeah, yeah Kabir, you can ask, you can ask, we have good
139280	164520	amount of time, we can ask, so okay, so let me open VS code, yeah, I'll repeat that Arun,
164520	170840	I'll repeat that before getting started with today's class, we'll again solve last 4 to 5
170840	179680	questions, so that everyone is you know fresh with that energy, but let me take up a question
179680	189400	by Kabir, so he had some question, okay, let's do one thing, I'll paste your question here,
189520	196120	post end of the class, let me know if you are able to answer this or not, okay, I won't pick it up
196120	211280	right away, because this concept will be covered today, okay, works Kabir, I'll add your question
211280	228400	as doubt, so let me start the screen share guys, do let me know if you can see the screen share,
228400	248280	guys can you see the screen share, working fine, cool, so I've seen right, I've taken a poll related
248280	254680	to assignments first, so I wanted to talk more on that, like I want to talk about whole about
254680	260880	curriculum part, like how things spin, how we can improve on, so from your point of view,
260880	265200	from my point of view or scalar point of view, right, so there are too many things that we have
265200	271120	to discuss and we will sit together with your points with my points, right, so let's communicate
271120	301080	that way, then it will be better for us, okay, I see only 19 people, let's say I put
301080	301600	a message,
331080	353480	okay, I see two people joined more, but let's wait for three to four minutes more, before
353480	361160	we talk on anything else, but anyone having any particular like, you know, anything that if you
362040	384520	concerns, please do let me know, okay, I don't see any concern, specifically anyone having it,
384840	391720	but if you have anything, you can ping me personally and you know, set up the meeting with me,
391720	398120	we can discuss over it, since you know, one thing that I want to tell you is like after Thursday's
398120	406360	class, we have Friday, Saturday and Sunday, three days, where you might be taking a contest on this,
406360	415960	and this contest will be specifically based on from async classes, async classes to post,
415960	422280	but I want all of you to be, you know, thorough with all the concepts that we have learned,
422280	431960	I'll talk about it, how we can achieve that, how we can prepare for that, but again, I don't see
431960	453080	people coming up, Abhinav, I'll make sure that you have all the content, so even if it is not
453080	461400	there, you can ask me anytime, anything, but everything will be covered, okay, so if you know
461400	466920	all these basics in a right fashion, right way, those things will be pretty easy,
469960	476680	okay, can we fetch data from excel, surely upendra, you can read it from excel or any type
476680	487960	of data type, any MIME type right, like you can read data from that, it would be interesting,
488520	497480	it would be kind of reverse engineering Abhinav for you, so let's see, like when we see 12 classes,
497480	504360	it's approximately one month, if I don't have any emergencies, it will be done in one month, so
