start	end	text
0	29360	Hi all, good evening.
29360	32960	Guys, am I audible and visible?
32960	36960	Can you guys hear me all?
36960	46160	Guys, can you listen to me?
46160	52360	Right, great.
52360	53360	Okay.
53360	70360	So, we'll wait for some amount of people, right?
70360	77360	Let's wait for some time, then we'll speak, then we'll start on it.
77360	80840	But do let me know guys if you can see the screen share too.
80840	85840	I'll start the screen share, right?
85840	89840	If you can see the screen share, right?
89840	90840	Great.
90840	95840	So, let's say I have five minutes timer.
95840	102840	We'll wait for five minutes and then we'll get started.
102840	106840	In case if you have anything, you guys can ping me out here in the chat.
106840	109840	If you have doubts or anything, we'll take it up.
109840	114840	Meanwhile, we'll start again in five minutes.
139840	141840	Okay.
169840	171840	Okay.
199840	201840	Okay.
229840	253840	Yes, Sabino, today it's going to be the last day for JS officially from the content point
253840	258840	of view like from the curriculum point of view like what topics we have to cover.
258840	264840	But, you know, the journey of learning chairs will be still continued when you go through
264840	271840	React and NodeJS till we completely cover all the things.
271840	277840	Yeah, we have covered mostly all of the content which is required and needed for day-in,
277840	283840	day-out development.
283840	289840	I have always pointed out that in case you need anything specific, do you feel if you
289840	292840	want me to cover anything, I was always open.
292840	297840	Even if you bring it up, anything new, you want to figure it out, do let me know.
297840	299840	We'll cut that.
299840	310840	Okay.
310840	316840	Then I'll talk about like we'll see like how we have covered all of them.
316840	326840	So we'll share it with an example like have we actually covered or not.
326840	327840	Okay.
327840	328840	I'll wait for some more time.
328840	333840	I see really less amount of people yet.
340840	369840	Okay.
369840	374840	Anyone having anything nice and the one having any doubt on anything like if you have anything,
374840	375840	do let me know.
375840	376840	Okay.
376840	379840	I mean, today we have time.
379840	384840	Can you share the link for the polyphys related with promises?
384840	385840	Okay.
385840	388840	So this is one repository.
388840	390840	I was maintaining it.
390840	405840	I'll build more, add things more there.
405840	406840	I'll get that for you.
406840	407840	Okay.
407840	411840	I don't have all the promises related, but I have to figure it out.
411840	414840	I'll get that.
414840	419840	And so firstly, guys, how are you feeling?
419840	424840	Like after complete, like we have completed it most like nine, 29 classes.
424840	427840	Do you feel, you know, good?
427840	429840	Do you have that good confidence on the web?
429840	434840	Do you understand things when you see some any interfaces?
434840	435840	Can you think of it?
435840	437840	Like how did it work?
437840	439840	How can you build them?
439840	443840	What is actually it takes?
443840	445840	Right.
445840	449840	Guys, do you feel confident in that?
449840	452840	Like, do you feel like comfortable seeing any website?
452840	454840	Like, yeah, at least I'm able to relate things.
454840	456840	I'm able to relate all the things.
456840	459840	Isn't it?
459840	460840	Okay.
460840	462840	Very much less responses.
462840	482840	Let's see this.
482840	489840	So first, let me pull the iPad.
489840	494840	So we'll take one real time use case, guys, in order to start with our class concept.
494840	495840	Right.
495840	497840	Let's let's pick any of your favorite website.
497840	500840	Like, let's pick some e-commerce website.
500840	501840	Okay.
501840	502840	Any e-commerce website.
502840	503840	Do you like it?
503840	505840	Or do you find it interesting?
505840	506840	Amazon.
506840	507840	Anyone else?
507840	508840	Guys.
508840	509840	Any any other website?
509840	510840	Flipkart.
510840	514840	By the way, there's something going on in Flipkart.
514840	516840	Do you know the latest news?
516840	522840	They are actually planning to build their own UPI interface.
522840	533840	I mean, integration with a UPI where they want to give a service like a payment service like all the fintech stars.
533840	538840	So they are hiring heavily for UPI related things.
538840	541840	I mean, front end, back end, everything, they are hiring it.
541840	543840	So keep an eye on it.
543840	544840	So keep an eye on it.
544840	551840	Like if in case if you are interested in working with Flipkart or Walmart, they are hiring it.
551840	552840	Okay.
552840	553840	So.
553840	554840	Okay.
554840	557840	I've got the call for same.
557840	561840	So so I got I to personally got the call from Flipkart.
561840	568840	So I just wanted to tell right that, hey, they are hiring for the specific new domain they are going to build.
568840	570840	More back end engineers.
570840	578840	I agree that, you know, back end engineers because back end is like, you know, 10 services, whereas you have front end also.
578840	582840	But there are openings, good amount of openings compared to earlier you have it some bit.
582840	586840	But there are good amount of openings available for the front end.
586840	587840	Okay.
587840	588840	So let's pick.
588840	593840	Let's pick Mintra or any other website you want to.
593840	594840	Okay.
594840	597840	Or else let's pick something like Quinn's.
597840	601840	Have you heard this?
601840	604840	This is also a Bangalore based startup.
604840	608840	I mean, not a Bangalore based startup, but a US startup.
608840	611840	They are also like they have their own.
611840	616840	I mean, development team is in-house in Bangalore where they build everything.
616840	619840	I don't know why this website is so slow.
619840	622840	Say if I click something.
622840	631840	But let's say, let's say now as an engineer, as an front end engineer or the knowledge we have currently.
631840	638840	If you if you think from this one end to end, if you think this from end to end, how would you build this thing?
638840	643840	Like what what could be the initial steps that you might be taking it?
643840	647840	Any ideas just like if you can jot it down, it would be really helpful for me.
647840	654840	Like what as an engineer, just think of it like as you used to answer me questions for the JS part.
654840	655840	Right.
655840	656840	I've given a question.
656840	658840	You guessed out what could be the output.
658840	661840	But now think it from this interface point of view.
661840	670840	Like if you want to build this out, let's say I say this, this particular products page.
670840	672840	Right where you're rendering products.
672840	673840	How would you do this?
673840	675840	How would you do this?
675840	677840	Let's say you have wireframe somewhere.
677840	684840	OK, from engineering point of view, let's say you have an engine like just you have to do a dev work.
684840	687840	What would you look at it first?
687840	695840	What could be the first step, guys?
695840	703840	HTML code for the blocks, header, footer, related items, grid, wireframes, HTML, yes.
703840	705840	But guys, do you see this?
705840	708840	Like do you need you need information about the different products?
708840	711840	Firstly, you need information about different products.
711840	713840	Like there's a different images.
713840	717840	There is a different pricing for each thing.
